No.;English;Latin;Oscan;Umbrian;Old Sabellic;Latin_cognacy;Oscan_cognacy;Umbrian_cognacy;Other_cognacy
161;fog;caligo, nebula, tenebrae;;;;1;;;
162;sky;caelum;;;;1;;;
163;wind;ventus;;;;1;;;
164;snow;nix;;;;1;;;
165;ice;gelu;;;;1;;;
166;smoke;fumus;;;;1;;;
167;fire;ignis;;pir;;1;;2;
168;ash;cinis;;;;1;;;
169;to burn;urere, flammare;asum;;;1;;;
170;road;via;víu;uia;viam;1;1;1;1
171;mountain;mons;βρειγ;;;1;2;;
172;red;ruber, rufus;;rufru;rufra;1;;1;1
173;green;viridis;;;;1;;;
174;yellow;croceus, flavus;;;;1;;;
175;white;albus, candidus;;kaleruf, alfu;;1;;1;
176;black;ater, niger;;peiu, atru;;1;;1;
177;night;nox;;;;1;;;
178;day;dies;zicolom;;;1;1;;
179;year;annus;acunum;acnu;;1;2;2;
180;warm;calidus;;;;1;;;
181;cold;frigidus;;;;1;;;
182;full;plenus;;plener;;1;;1;
183;new;novus;;nuvis;;1;;1;
184;old;vetus;;;;1;;;
185;good;bonus;;;ϝολοϲ;1;;;2
186;bad;malus;;;;1;;;
187;rotten;putridus;;;;1;;;
188;dirty;sordidus, immundus;;;;1;;;
189;straight;rectus;;;;1;;;
190;round;rotundus;;;;1;;;
191;sharp (as a knife);acutus;akrid;;;1;1;;
192;dull (as a knife);hebes, retusus;;;;1;;;
193;smooth;suavis;;;;1;;;
194;wet;umidus, aqueus;;;;1;;;
195;dry;siccus;sicu;;;1;1;;
196;correct;rectus;;;;1;;;
197;near;propinquus, proximus;;;;1;;;
198;far;longus;;;;1;;;
199;right;dexter;destr;testru;;1;1;1;
200;left;laevus, sinister;nertrak;mersto / nertru;;1;2;2;
201;at;ad, in;op;kum / pert;;1;2;3;
202;in;in;en;em;;1;1;1;
203;with;cum;com;ku;;1;1;1;
204;and;et, que;inim;et;;1;2;1;
205;if;si;svai;sve;suai;1;1;1;1
206;because;quod;;;;1;;;
207;name;nomen;numneís;numem;;1;1;1;
