Order;Lexeme;Umbrian_attested;Oscan_attested;include;comment;INCLUDE;sample2;sample;meaning;umbrian;oscan;latin;Frequency;meaning;English;Dutch;German;;
65;towo;"tuer.; tuer.; tua.; tua.; tuer.; tuer; tua.; tuua.; tuer.; tuer; tua.; tua.; tua.; tua.; touer.; touer.; tua.; tua.; tua.; t{.}ua.; tua.; tua.";tuvai:;YES;;DOUBLE;;;your;towo;towo;tua;;your;yo;yow;doyn3;;
85;post;"post.; post.; post.; post.";"post; {post}; post; post; post";DOUBLE?;;double;;;;;;;;;;;;;
13;a;{a};"ạ[-]; a[-]; a; a; [-]a[-]; a; a; α; a; a; a; a; a; a; a; |a|; a; a; α; a; A; a; A; a; a; a; {a}; a; a·; a; a; a; a; a; |a|; a; a; a; a; a[-]; a; a; a; [-]Α[-]; [-]α·; a";ABBR;;;;;;;;;;;;;;;
104;as;"a.; a.; a.; a.; a.";a**;ABBR;;;;;;;;;;;;;;;
95;alyo;"arsir.; arsir.";allam;YES;U different;;;;;;;;;;;;;;
72;keresyo;"çe[r]|fi:; çerfie:; çerfie:; śerfi.; s̀erfia.; s̀erfia.; serfia|; s̀erfia.; śerfie.; śerfie; śerfia.; śerfia.; śerfia.; śerfia.; serfia.; śerfia.; śerfia.; śerfiar.; śerfia.; śerfia{r}.; śerfiar.; śerfie.; śerfia.; śerfia.; śerfia; śerfia.; śerfia.; śerfia.; śerfiar.; śerfia.; śerfia.; śerfiar.; śerfie.";kerríiaí·;PROPER;;;;;;;;;;;;;;;
44;hafy;"eitipes:; eitipes:";"hαfειτουδ; <h>ιπειδ; hipid.; hafie{i}st; hipust; hipid; hipid.; <h>ipid.; hipust,; haf[iar·";YES;compound;;;;;;;;;;;;;;
43;epsoons;"esuf:; esuf:";"<εϲ>ϲουf; essuf.; esuf; esuf";YES;;;;;;;;;;;;;;;
6;fisyo;"fisiu:; fisiu:; fisiu:; fisiu:; fisiu:; fisiu:; fisiu:; fisiu:; fisiu; fisiu.; fisei; fisiu.; fisie.; fisei.; fisier.; fisi; fisi.; fisier.; fisi.; fisiu.; fisiu.; fisie.; fisi.; fisier.; fisie.; fisim.; fisier.; fisi.; fissiu.; fisiu.; fisiem.; fisim.; fisier.; fisi; fisim.; fisieṛ; fisi; fisiu.; fisiu.; fisiu.; fisiu; fisiu.; fisiu.; fisiu; fisi.; fisiu; fisi.; fisie.; fisi.; fisi.; fisi{.}er.; fisi.; fisiu; fisiu.; fisiu.; fisiu.; fisi.; fisiu.; fisie.; fisi.; fisier.; fisi.; fisi.; fisier; fisi.; fisiu.";fis[-];PROPER;;;;;;;;;;;;;;;
32;fii;"fuia:; fuiest:; fito.";"fiíet·; fi[í]et; fiị́et";DERIV;;;;;;;;;;;;;;;
24;dyow;"iuve:; iuve:; iuue.; dei; dei.; dei.; di.; dei.; dei.; di.; di.; di.; di.; di; di.; di.; di.; di; di.; di; di.; di.; di; di.; di.; di.; di.; di; di.; di.; di.; di.; di; di.; di.; di.; di.";"ιουfηι; [-]υ̣ϝι; διουϝει; iuveí·; iuveí·; διοϝηι; iúveí:; iúveís; διωϝηιϲ; ζωϝηι; diúveí·; diúveí·; diúveí·; diúveí·; iúveís·; di; zoveṣ[·][-]; iú(veí); [-]δι[-]";PROPER;;;;;;;;;;;;;;;
78;dyowpateer;"iuvepatre; iuvepatre:; iuvepatre:; iupater:; iuvepatre:; iuvepatre";dí{·}pa{·}tír;PROPER;;;;;;;;;;;;;;;
20;k?;k.;"c·; |k|·; |k|·; c·; |k|; c·; |k|·; |k|; c·";ABBR;;;;;;;;;;;;;;;
59;kwaystoor;"kvestur:; kvestur:";"κϝαιϲτορ·; κϝαιϲτορ·; kva]ị́sstur·; kvaísstur·; kvaízstur·; [k]vaísstur; kvaíssṭur·; [·k]vaísstur; κϝαιϲ(τορ); [-][κϝ]α̣ι̣ϲτορ·; q(uaestor); q(uaestor); q(uaestor); q(uaestor); kvaístụ|reí·; <kv>(aístur); [-][kvaístur·; k[vaístur";LOAN;;;;;;;;;;;;;;;
81;mee;mehe.;íív:;CHECK;;;;;;;;;;;;;;;
80;nummo;"numer:; numer:; numer:";"νο(μοϲ); n(ummum); n(ummum); n(ummois)";LOAN;;;;;;;;;;;;;;;
26;nowyo;nuvis:;"νο(ϝιϲ); νουιου; n(ú)v(is)·; no(uieis); no(uis)·; no(uieis); n(ú)v(is)·; núis; n(úvis); núvis·";PROPER;;;;;;;;;;;;;;;
23;p?;"p.; p.";"p; |π|; π; π·; p·; p·; p·; p[·]; |p|·; |p|·; p·; p; p·; |p|; |p|; p·; p·; p·; p; p; p[-]; |p|";ABBR;;;;;;;;;;;;;;;
103;ped;"peři:; peři:; persi.; persti; persi.; persi.; persi.";pedú;HOMONYM;;;;;;;;;;;;;;;
77;perkaa;"perkaf:; perca.; perca.; perca.; perca.; percam.; perca.; perca.; perca.";"per(ekaís); perek(aís)·";HOMONYM;;;;;;;;;;;;;;;
5;pomperyaa;pumpeřias:;"pumperias·; pumperias·; pumpe|ri(as); púmperiaís; pum|periais·; púmperiais·; púmperi|a(s); púmpe|r(ias)";PROPER;;;;;;;;;;;;;;;
71;potero+pis;putrespe:;"pútereípíd·; pútereípíd·; pútúrúspíd·; pútụ́rụ́[mpíd]";YES;;;;;;;;;;;;;;;
17;saakri;"sakref:; sakref:; sakre:; sakre:; sakre:; sakre:; sakre; sakre:; sakre:; sakre:; sakreu:";"saḳrid·; [-][sak]rid; sakrim; sakrid·; sakriss·; [s]|_akrid_|; sakrim:";YES;;;;;;;;;;;;;;;
67;siste;"sestu:; seste:; sestu:; andersistu.; reste.";statús;DERIV;;;;;;;;;;;;;;;
3;t.;"t:; t.; t.";"|t|·; τ; |_t[·]; t·; t[·; |t|; |t|; τ[-]; t·; t; |t|; |t|; t[·]; t·";ABBR;;;;;;;;;;;;;;;
70;tefro;"tefre:; tefri:; tefra; tefra; tefra; tefra:; tefrei.; tefro.; tefro; tefro.; tefre; tefre; tefre; tefre.; tefre.; tefre.; tefre.; tefre.; tefre.; tefre.; tefruto.";"tefúrúm·; tefúrúm·";PROPER;;;;;;;;;;;;;;;
25;trebo;"trebe:; trebo.";τρε<β>ω;PROPER;;;;;;;;;;;;;;;
19;lowkyo;"vuvçis; vuṿçis";"luvkis; λο̣F̣κιϲ; l·; l·; ([lu]vkụ(i); lúvikis·; lúvkis·; lúv(kieís); λευκιοϲ; λ·; λωϝκιϲ·; λωϝκιϲ·; luv[kis]; luvk[is][-]; l(úvkis)·; l(úvkieís)·; l·; |l|·; l; l·; l·; l·; l; l(úvkis)·; l(úvkis)·; lúvkis·; |l|·; l·; l·; l·; l; l; l; l·; l; l; lúvkis·; lúvkis; λωϝκ(ιηιϲ)·; l(úvkis)·; l(úvkieís)·; l·; l(úvkis)·; l(úvkieís)·; l(úvkieís)·; l·; l(úvkis)·; l(úvkis)·; ḷúvkiíúí·; l(úvkis)<·>; l(úvkis)<·>; l(úvkieís)·; l(úvkieís)·; l(úvkieís)·; l(úvkieís)[·]; lúvkiúí·; l·; lu[-]; ḷ·; |l|";PROPER;;;;;;;;;;;;;;;
