Order;Lexeme;Umbrian_attested;Oscan_attested;include;comment;INCLUDE;sample2;sample;meaning;umbrian;oscan;latin;Frequency;meaning;English;Dutch;German;;
82;moltaa;"muta:; muta:; mutu:; motar.";"moltam; molto; moltaum; moltas; moltaum; moltaum; molto; moltaum; moltas; moltaum; moltas][-]; moltaum; [-][moltas]; moltaum";YES;;limited;yes;;fine*;moto;molto;multa;;fine;;;;;
38;wero;"veres:; veres:; veres:; veres:; veres:; veres:; veruf; ueris; ueris; ueris; uereir.; uerir.; uerir.; uerir.; uerir.; uerir.; uerir.; uerir.; uerir; uerir.; ueris; ueris; ueris; uerof; ueris; uerir.; uerir.; ueris; ueris";"veruís·; ve[ru·]; veru·; ver(u); veru·";YES;;limited;yes;;gate*;wEro;wEro;;;gate;;;;;
2;dide;"titu:; teřa:; teřust:; teřa:; teřa:; tetu:; teřtu:; teřtu:; tetu:; teṛ̌tu:; teřte:; dirsas.; dirsans.; dirsa.; dirsans.; ditu.; ditu.; dirstu.; ditu.; dirstu; dirstu.; dirstu.; dirstu; ditu.; dersa.; dirsust.; dersa.; dersa.";"δεδετ; deded·; δαταϲ; δατ[α]ϲ; δαταϲ; [da]ṭas; ded(ed); [-][δ]εδε[τ][-]; dedens; dedenṣ; datas:; deded; de]ded[·]; dat(as)·; d[eded]; [dedens; [datas]; δεδενϲ; deded·; deded·; deded·; [deded; deded; dedens·; [-][d]ed[ens:]; ded]ed; ded[ens][-]; δατα{ι}ϲ; deded; didest; deded·]; ded(e)d):; datas:; d[eded][-]; deded";YES;;yes;yes;yes;give;dE8E;dEdEd;dEdit;;give;gEiv;xof;gob;;
39;lowko;"vuku; vuku; vuke:; vukum; vuku:; vuke:";lúvkei;YES;;limited;yes;;grove*;woko*;lowkom;lukum;;grove;;;;;
49;manu;"mani:; manf:; manuve:; mani";"μανομ̣; manim";YES;;yes;yes;yes;hand;mani*;manim;manum;;hand;hEnd;hant;hand;;
9;eys;"eřeḳ; eaf; eu:; eu; erak:; eru; ererek:; eřek:; eřek:; eřek:; eřek:; eřek; ere:; eru:; erek:; eřek:; eo.; erer.; erar.; erer.; erar.; irer.; erar.; erẹr.; erar.; erer; erar.; erer.; erar.; erer.; erar.; erer.; erar.; erer.; erar.; erer; erar.; erer.; erar.; erer.; erar.; erer.; erar.; erer.; erar.; erar.; erar.; erer.; erar.; erer.; era{.}r; erer.; erar.; erer.; erar.; erer; erar.; erer; erar.; eam.; eam.; erer.; erar.; erer.; erar.; erer.; erar.; erer.; erar.; erer; erar.; erer.; erar.; ere.; eru; ero; ero.; erar.; erer.; erar.; ero.; erom.; erar.; erar.|; erer.; erar.; erer.; erar.; isir.; erer.; erar.; erer.; erar.; ero.; erar.; erer.; erar.; erer.; erar; isir.; erer.; erar.; erar.; erom; erar.; eaf.; erec.";"iiuk·; ηϲου; ειϲειϲ; ιαfκ; ειοκ; ειοκ; idik:; eiseis; idik; eis[uk:]; eisunk; eísak·; íak·; eís[eís; eí]sunḳ; íd(ík); ịzịc; ioc; ioc; idic; izic; eizeic; eiza<i>sc; idic; eizac; ionc; izic; eisuc; ionc; iusc; eizeic; eizeis; eizois; eizazunc; ionc; izic; eizuc; izic; idic; eizuc|; eiz<o>[i]s_|[-]; i]onc; ius<c>; eị́[seík·; id(ik); eísúd·; í-dík·; ídík·; eíseís·; iúk·; íúk·; eíseí·; e<í>seí·; e[íseí]; [e]ísaí·; iace·";YES;;yes;yes;yes;he;E8Ek;izik;is;;he;hi;hE;;;
51;see;seso.;"sífeí·; siom; siom; s<i>om";YES;;yes;yes;yes;himself;seso*;sefEy;sibi;;himself;himsElf;zixzElf;sElbst;;
56;sakro;"sakra:; sakra:; sacra.; sacris.; sacris.; sacra.; sacra.";"ϲακ|_ορο_|; ϲακορο; s";YES;;limited;yes;;holy*;sakro;sak3ro;sakra;;holy;hEwli;hElix;hoylig;;
69;saankto;"sahta:; sahata.; sahatam.; sahata.; sahate.; sahatam.; sahatam.";"saahtúm·; saahtúm·";YES;;limited;yes;;holy*;sato;saxto;saNkta;;holy;;;;;
40;sway;"sve; sve; sve; sve:; sve:; sve:; sue.; sue; sue; so; sue.";"ϲϝα|[ι; ϲϝαι; ϲϝαι; svai:; svai:; svai; svai; svai:; svai:; suaẹ; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; suae; [svaí·; svaí·";YES;;yes;yes;yes;if;swE;sway;si;;if;;;;;
