order;id;name;field;latin;selection;distance_from_hearth;dfh_comment;latin_source;latin_score;sabellic;sabellic_source;sabellic_score
324;4#312;the armpit;The body;ala, axilla;selection;0;body parts are universal;Latin;0;;;
325;4#32;the elbow;The body;cubitus;selection;0;body parts are universal;Latin;0;;;
326;4#321;the wrist;The body;;none;0;body parts are universal;;;;;
327;4#33;the hand;The body;manus;selection;0;body parts are universal;Latin;0;manus;Sabellic;0
328;4#331;the palm of the hand;The body;palma;selection;0;body parts are universal;substrate;0.25;;;
329;4#34;the finger;The body;digitus;selection;0;body parts are universal;Latin;0;;;
330;4#342;the thumb;The body;pollex;selection;0;body parts are universal;Latin;0;;;
331;4#344;the fingernail;The body;unguis;selection;0;body parts are universal;Latin;0;;;
332;4#345;the claw;The body;unguis;selection;0;body parts are universal;Latin;0;;;
333;4#35;the leg;The body;crus;selection;0;body parts are universal;Latin;0;;;
334;4#351;the thigh;The body;femur;selection;0;body parts are universal;Latin;0;;;
335;4#352;the calf of the leg;The body;sura;selection;0;body parts are universal;Latin;0;;;
336;4#36;the knee;The body;genu;selection;0;body parts are universal;Latin;0;;;
337;4#37;the foot;The body;pes;selection;0;body parts are universal;Latin;0;peri;Sabellic;0
338;4#371;the ankle;The body;talus;selection;0;body parts are universal;Latin;0;;;
339;4#372;the heel;The body;calx;selection;0;body parts are universal;Greek;1;;;
340;4#374;the footprint;The body;vestigium;selection;0;body parts are universal;Latin;0;;;
341;4#38;the toe;The body;digitus;selection;0;body parts are universal;Latin;0;;;
342;4#392;the wing;The body;ala;selection;0;body parts are universal;Latin;0;;;
343;4#393;the feather;The body;penna;selection;0;body parts are universal;Latin;0;;;
344;4#4;the chest;The body;thorax;selection;0;body parts are universal;Greek;1;;;
345;4#41;the breast;The body;mamma;selection;0;body parts are universal;Greek;1;;;
346;4#412;the nipple or teat;The body;papilla;selection;0;body parts are universal;Latin;0;;;
347;4#42;the udder;The body;uber;selection;0;body parts are universal;Latin;0;;;
348;4#43;the navel;The body;umbilicus;selection;0;body parts are universal;Latin;0;;;
349;4#431;the belly;The body;venter;selection;0;body parts are universal;Latin;0;;;
350;4#44;the heart;The body;cor;selection;0;body parts are universal;Latin;0;;;
351;4#441;the lung;The body;pulmo;selection;0;body parts are universal;Latin;0;;;
352;4#45;the liver;The body;iecur;selection;0;body parts are universal;Latin;0;iepru;Sabellic;0
353;4#451;the kidney;The body;ren;selection;0;body parts are universal;Latin;0;;;
354;4#452;the spleen;The body;lien;selection;0;body parts are universal;Latin;0;;;
355;4#46;the stomach;The body;stomachus;selection;0;body parts are universal;Greek;1;;;
356;4#461;the intestines or guts;The body;intestinum;selection;0;body parts are universal;Latin;0;;;
357;4#462;the waist;The body;;none;0;body parts are universal;;;;;
358;4#463;the hip;The body;coxendix;selection;0;body parts are universal;Latin;0;;;
359;4#464;the buttocks;The body;clunis;selection;0;body parts are universal;Latin;0;;;
360;4#465;the sinew or tendon;The body;nervus;selection;0;body parts are universal;Latin;0;;;
361;4#47;the womb;The body;uterus;selection;0;body parts are universal;Latin;0;;;
362;4#49;the testicles;The body;testis;selection;0;body parts are universal;Latin;0;;;
363;4#492;the penis;The body;mentula;selection;0;body parts are universal;Latin;0;;;
364;4#493;the vagina;The body;cunnus;nonspecific;0;body parts are universal;;;;;
365;4#494;the vulva;The body;cunnus;selection;0;body parts are universal;Latin;0;;;
366;4#51;to breathe;The body;spiro;selection;0;universal concepts;Latin;0;;;
367;4#52;to yawn;The body;oscito;selection;0;universal concepts;Latin;0;;;
368;4#521;to hiccough;The body;singultio;selection;0;universal concepts;Latin;0;;;
369;4#53;to cough;The body;tussio;selection;0;universal concepts;Latin;0;;;
370;4#54;to sneeze;The body;sternuo;selection;0;universal concepts;Latin;0;;;
371;4#55;to perspire;The body;sudo;selection;0;universal concepts;Latin;0;;;
372;4#56;to spit;The body;spuo;selection;0;universal concepts;Latin;0;;;
373;4#57;to vomit;The body;vomo;selection;0;universal concepts;Latin;0;;;
374;4#58;to bite;The body;mordeo;selection;0;universal concepts;Latin;0;;;
375;4#59;to lick;The body;lambo;selection;0;universal concepts;Latin;0;;;
376;4#591;to dribble;The body;stillo;selection;0;universal concepts;Latin;0;;;
377;4#61;to sleep;The body;dormio;selection;0;universal concepts;Latin;0;veiat;Sabellic;0
378;4#612;to snore;The body;sterto;selection;0;universal concepts;Latin;0;;;
379;4#62;to dream;The body;somnio;selection;0;universal concepts;Latin;0;;;
380;4#63;to wake up;The body;expergiscor;selection;0;universal concepts;Latin;0;;;
381;4#64;to fart;The body;pedo;selection;0;universal concepts;Latin;0;;;
382;4#65;to piss;The body;meio, mingo;selection;0;universal concepts;Latin;0;;;
383;4#66;to shit;The body;caco;selection;0;universal concepts;Latin;0;;;
384;4#67;to have sex;The body;futuo;selection;0;universal concepts;Latin;0;;;
385;4#68;to shiver;The body;horreo;selection;0;universal concepts;Latin;0;;;
386;4#69;to bathe;The body;lavor;selection;0;universal concepts;Latin;0;;;
387;4#71;to beget;The body;gigno;selection;0;universal concepts;Latin;0;;;
388;4#72;to be born;The body;nascor;selection;0;universal concepts;Latin;0;;;
389;4#73;pregnant;The body;gravida;selection;0;universal concepts;Latin;0;kumiaf;Sabellic;0
390;4#732;to conceive;The body;concipio;selection;0;universal concepts;Latin;0;;;
391;4#74;to be alive;The body;vivo;selection;0;universal concepts;Latin;0;;;
392;4#741;the life;The body;vita;selection;0;universal concepts;Latin;0;biitam;Sabellic;0
393;4#75;to die;The body;morior;selection;0;universal concepts;Latin;0;;;
394;4#7501;dead;The body;mortuus;selection;0;universal concepts;Latin;0;;;
395;4#751;to drown;The body;submergo;selection;0;universal concepts;Latin;0;;;
396;4#76;to kill;The body;interficio;selection;0;universal concepts;Latin;0;;;
397;4#77;the corpse;The body;cadaver;selection;0;universal concepts;Latin;0;;;
398;4#771;the carcass;The body;cadaver;selection;0;universal concepts;Latin;0;;;
399;4#78;to bury;The body;sepelio;selection;0;universal concepts;Latin;0;pelsana;Sabellic;0
400;4#79;the grave;The body;sepulcrum;selection;0;universal concepts;Latin;0;vepeten;substrate;0.5
401;4#81;strong;The body;fortis;selection;0;universal concepts;Latin;0;;;
402;4#82;weak;The body;infirmus;selection;0;universal concepts;Latin;0;;;
403;4#83;healthy;The body;sanus;selection;0;universal concepts;Latin;0;salaus;Sabellic;0
404;4#84;sick/ill;The body;aeger;selection;0;universal concepts;Latin;0;;;
405;4#841;the fever;The body;febris;selection;0;universal concepts;Latin;0;;;
406;4#842;the goitre/goiter;The body;gutturosus;selection;0;universal concepts;Latin;0;;;
407;4#843;the cold;The body;gravedo;selection;0;universal concepts;Latin;0;;;
408;4#844;the disease;The body;morbus;selection;0;universal concepts;Latin;0;;;
409;4#85;the wound or sore;The body;vulnus;selection;0;universal concepts;Latin;0;;;
410;4#852;the bruise;The body;contusio;selection;0;universal concepts;Latin;0;;;
411;4#853;the swelling;The body;tumor;selection;0;universal concepts;Latin;0;;;
412;4#854;the itch;The body;pruritus;selection;0;universal concepts;Latin;0;;;
413;4#41;to scratch;The body;rado;selection;0;universal concepts;Latin;0;;;
414;4#855;the blister;The body;pustula;selection;0;universal concepts;Latin;0;;;
415;4#856;the boil;The body;vomica;selection;0;universal concepts;Latin;0;;;
416;4#857;the pus;The body;pus;selection;0;universal concepts;Latin;0;;;
417;4#858;the scar;The body;cicatrix;selection;0;universal concepts;Latin;0;;;
418;4#86;to cure;The body;curo;selection;0;universal concepts;Latin;0;;;
419;4#87;the physician;The body;medicus;selection;1;specialised trades;Latin;0;;;
420;4#88;the medicine;The body;medicamentum;selection;1;specialised trades;Latin;0;;;
421;4#89;the poison;The body;venenum;selection;1;specialised trades;Latin;0;;;
422;4#91;tired;The body;fessus;selection;0;universal concepts;Latin;0;;;
423;4#912;to rest;The body;requiesco;selection;0;universal concepts;Latin;0;;;
424;4#92;lazy;The body;ignavus;selection;0;universal concepts;Latin;0;;;
425;4#93;bald;The body;calvus;selection;0;universal concepts;Latin;0;;;
426;4#94;lame;The body;claudus;selection;0;universal concepts;Latin;0;;;
427;4#95;deaf;The body;surdus;selection;0;universal concepts;Latin;0;;;
428;4#96;mute;The body;mutus;selection;0;universal concepts;Latin;0;;;
429;4#97;blind;The body;caecus;selection;0;universal concepts;Latin;0;;;
430;4#98;drunk;The body;ebrius;selection;0;universal concepts;Latin;0;;;
431;4#99;naked;The body;nudus;selection;0;universal concepts;Latin;0;;;
432;5#11;to eat;Food and drink;edo;selection;0;universal concepts;Latin;0;edum;Sabellic;0
433;5#12;the food;Food and drink;cibus;selection;0;universal concepts;Greek;0.5;kebu;Latin;0.75
434;5#121;cooked;Food and drink;coctus;selection;0;universal concepts;Latin;0;;;
435;5#122;raw;Food and drink;crudus;selection;0;universal concepts;Latin;0;;;
436;5#123;ripe;Food and drink;maturus;selection;0;universal concepts;Latin;0;;;
437;5#124;unripe;Food and drink;immaturus;selection;0;universal concepts;Latin;0;;;
438;5#125;rotten;Food and drink;putridus;selection;0;universal concepts;Latin;0;;;
439;5#13;to drink;Food and drink;bibo;selection;0;universal concepts;Latin;0;;;
440;5#14;to be hungry;Food and drink;esurio;selection;0;universal concepts;Latin;0;;;
441;5#141;the famine;Food and drink;fames;selection;0;universal concepts;Latin;0;;;
442;5#15;to be thirsty;Food and drink;sitio;selection;0;universal concepts;Latin;0;;;
443;5#16;to suck;Food and drink;sugo;selection;0;universal concepts;Latin;0;;;
444;5#18;to chew;Food and drink;mando;selection;0;universal concepts;Latin;0;;;
445;5#181;to swallow;Food and drink;haurio;selection;0;universal concepts;Latin;0;;;
446;5#19;to choke;Food and drink;strangulo;selection;0;universal concepts;Greek;1;;;
447;5#21;to cook;Food and drink;coquo;selection;0;universal concepts;Latin;0;;;
448;5#22;to boil;Food and drink;fervefacio;selection;0;universal concepts;Latin;0;;;
449;5#23;to roast or fry;Food and drink;torreo;selection;0;universal concepts;Latin;0;;;
450;5#24;to bake;Food and drink;coquo;selection;0;universal concepts;Latin;0;;;
451;5#25;the oven;Food and drink;furnus;selection;0;would have been present in any home?;Sabellic;0.5;;;
452;5#26;the pot;Food and drink;olla;selection;0;would have been present in any home?;substrate;1;;;
453;5#27;the kettle;Food and drink;lebes;selection;1;likely not present in every home;Greek;1;;;
454;5#28;the pan;Food and drink;sartago;selection;1;likely not present in every home;substrate;1;;;
455;5#31;the dish;Food and drink;patina;selection;0;would have been present in any home?;Greek;1;;;
456;5#32;the plate;Food and drink;catillus;selection;0;would have been present in any home?;substrate;0.5;;;
457;5#33;the bowl;Food and drink;crater;selection;0;would have been present in any home?;Greek;1;;;
458;5#34;the jug/pitcher;Food and drink;urceus;selection;0;would have been present in any home?;Greek;1;;;
459;5#35;the cup;Food and drink;poculum;selection;0;would have been present in any home?;Latin;0;;;
460;5#36;the saucer;Food and drink;phiala;selection;1;likely not present in every home;Greek;1;;;
461;5#37;the spoon;Food and drink;cochlear;selection;1;likely not present in every home;Greek;1;;;
462;5#38;the knife(1);Food and drink;culter;selection;0;would have been present in any home?;Latin;0;;;
463;5#39;the fork;Food and drink;furca;selection;1;likely not present in every home;Sabellic;0.25;;;
464;5#391;the tongs;Food and drink;forceps;selection;1;likely not present in every home;substrate;0.25;;;
465;5#41;the meal;Food and drink;cena;selection;0;would have been present in any home?;Latin;0;;;
466;5#42;the breakfast;Food and drink;ientaculum;selection;0;culturally appropriate?;Latin;0;;;
467;5#43;the lunch;Food and drink;prandium;selection;1;not culturally appropriate?;Latin;0;;;
468;5#44;the dinner;Food and drink;cena;selection;0;culturally appropriate?;Latin;0;kerssnais;Sabellic;0
469;5#45;the supper;Food and drink;cena;nonspecific;0;culturally appropriate?;Latin;0;;;
470;5#46;to peel;Food and drink;cutem reseco;compound;0;universal concepts;;;;;
471;5#47;to sieve or to strain;Food and drink;cribro;selection;0;universal concepts;Latin;0;;;
472;5#48;to scrape;Food and drink;scabo;selection;0;universal concepts;Latin;0;;;
473;5#49;to stir or to mix;Food and drink;misco;selection;0;universal concepts;Latin;0;;;
474;5#51;the bread;Food and drink;panis;selection;0;Romans ate this;Latin;0;;;
475;5#53;the dough;Food and drink;massa;selection;0;Romans ate this;Greek;1;;;
476;5#54;to knead;Food and drink;subigo;selection;0;universal concepts;Latin;0;;;
477;5#55;the flour;Food and drink;farina;selection;0;Romans ate this;substrate;0.25;;;
478;5#56;to crush or to grind;Food and drink;molo;selection;0;universal concepts;Latin;0;kumultu;Sabellic;0
479;5#57;the mill;Food and drink;mola;selection;1;likely not present in every home;Latin;0;;;
480;5#58;the mortar(1);Food and drink;pila;selection;0;would have been present in any home?;Latin;0;;;
481;5#59;the pestle;Food and drink;pium;selection;0;would have been present in any home?;Latin;0;;;
482;5#61;the meat;Food and drink;caro;selection;0;Romans ate this;Latin;0;pelmner;Sabellic;0
483;5#63;the sausage;Food and drink;farcimen;selection;0;Romans ate this?;Latin;0;;;
484;5#64;the soup;Food and drink;ius;selection;0;Romans ate this?;Latin;0;;;
485;5#65;the vegetables;Food and drink;olus;selection;0;Romans ate this?;Latin;0;;;
486;5#66;the bean;Food and drink;faba;selection;0;Romans ate this?;substrate;0.25;;;
487;5#7;the potato;Food and drink;;anachronism;1;Romans did not eat this;;;;;
488;5#71;the fruit;Food and drink;fructus;selection;0;Romans ate this?;Latin;0;fri;Sabellic;0
489;5#712;the bunch;Food and drink;racemus;selection;0;universal concepts;substrate;0.5;;;
490;5#75;the fig;Food and drink;ficus;selection;0;domesticated plant;substrate;0.75;;;
491;5#76;the grape;Food and drink;acinus;selection;0;domesticated plant;Latin;0;;;
492;5#77;the nut;Food and drink;nux;selection;0;probably wild?;substrate;0.25;;;
493;5#78;the olive;Food and drink;olea;selection;0;domesticated plant;Greek;1;;;
494;5#79;the oil;Food and drink;oleum;selection;0;domesticated plant;Greek;1;;;
495;5#791;the grease or fat;Food and drink;adeps;selection;0;universal concepts;Etruscan Sabellic;0.5;;;
496;5#81;the salt;Food and drink;sal;selection;0;universal concepts;Latin;0;salu;Sabellic;0
497;5#82;the pepper;Food and drink;piper;selection;1;Romans did not eat this?;Greek;1;;;
498;5#821;the chili pepper;Food and drink;;anachronism;1;Romans did not eat this?;;;;;
499;5#84;the honey;Food and drink;mel;selection;1;likely not an everyday food item;Latin;0;;;
500;5#85;the sugar;Food and drink;saccharum;selection;1;Romans did not eat this?;Greek;1;;;
501;5#86;the milk;Food and drink;lac;selection;0;universal concepts;Latin;0;;;
502;5#87;to milk;Food and drink;mulgeo;selection;0;universal concepts;Latin;0;;;
503;5#88;the cheese;Food and drink;caseus;selection;0;Romans ate this?;substrate;0.25;;;
504;5#89;the butter;Food and drink;butyrum;selection;0;Romans ate this?;Greek;1;;;
505;5#9;the drink;Food and drink;potus;selection;0;universal concepts;Latin;0;;;
506;5#91;the mead;Food and drink;mulsum;selection;0;Romans ate this?;Latin;0;puni;Sabellic;0
507;5#92;the wine;Food and drink;vinum;selection;0;Romans ate this?;substrate;0.25;vinu;substrate;0.25
508;5#93;the beer;Food and drink;cerevisia;selection;1;Romans hated this (for some reason);Gaulish;1;;;
509;5#94;the fermented drink;Food and drink;;none?;0;Romans had these;;;;;
510;5#97;the egg;Food and drink;ovum;selection;0;Romans ate this?;Latin;0;;;
511;5#971;the yolk;Food and drink;luteum;selection;0;Romans ate this?;Latin;0;;;
512;5#983;the manioc bread;Food and drink;;anachronism;1;Romans did not eat this;;;;;
513;6#11;to put on;Clothing and grooming;induo;selection;0;universal concepts;Latin;0;;;
514;6#12;the clothing or clothes;Clothing and grooming;vestis;selection;0;universal concepts;Latin;0;;;
515;6#13;the tailor;Clothing and grooming;vestitor;selection;1;specialised trades;Latin;0;;;
516;6#21;the cloth;Clothing and grooming;textile;selection;0;worn by Romans;Latin;0;;;
517;6#22;the wool;Clothing and grooming;lana;selection;0;worn by Romans;Latin;0;;;
518;6#23;the linen;Clothing and grooming;linteum textum;compound;1;not everyday clothes?;;;;;
519;6#24;the cotton;Clothing and grooming;gossypium;selection;1;not everyday clothes?;Greek;1;;;
520;6#25;the silk;Clothing and grooming;sericus +N;selection;1;not everyday clothes?;Greek;1;;;
521;6#27;the felt;Clothing and grooming;coactus +N;nonspecific;1;not everyday clothes?;;;;;
522;6#28;the fur;Clothing and grooming;lana;selection;1;not everyday clothes?;Latin;0;;;
523;6#29;the leather;Clothing and grooming;corium;selection;1;not everyday clothes?;Latin;0;;;
524;6#31;to spin;Clothing and grooming;neo;selection;0;would have occurred in any house?;Latin;0;;;
525;6#32;the spindle;Clothing and grooming;fusus;selection;0;would have occurred in any house?;Latin;0;;;
526;6#33;to weave;Clothing and grooming;texo;selection;0;would have occurred in any house?;Latin;0;;;
527;6#34;the loom;Clothing and grooming;tela;selection;0;would have occurred in any house?;Latin;0;;;
528;6#35;to sew;Clothing and grooming;suo;selection;0;would have occurred in any house?;Latin;0;;;
529;6#36;the needle(1);Clothing and grooming;acus;selection;0;would have occurred in any house?;Latin;0;;;
530;6#37;the awl;Clothing and grooming;subula;selection;0;would have occurred in any house?;Latin;0;;;
531;6#38;the thread;Clothing and grooming;filum;selection;0;would have occurred in any house?;Latin;0;;;
532;6#39;to dye;Clothing and grooming;tingo;selection;0;would have occurred in any house?;Latin;0;;;
533;6#41;the cloak;Clothing and grooming;pallium;selection;0;worn by Romans;substrate;0.25;;;
534;6#411;the poncho;Clothing and grooming;;anachronism;0;worn by Romans;;;;;
535;6#42;the (woman's) dress;Clothing and grooming;;anachronism;0;worn by Romans;;;;;
536;6#43;the coat;Clothing and grooming;;anachronism;0;worn by Romans;;;;;
537;6#44;the shirt;Clothing and grooming;subucula;anachronism;0;worn by Romans;Latin;0;;;
538;6#45;the collar;Clothing and grooming;monile;anachronism;0;worn by Romans;Latin;0;;;
539;6#46;the skirt;Clothing and grooming;;anachronism;0;worn by Romans;;;;;
540;6#461;the grass-skirt;Clothing and grooming;;anachronism;0;worn by Romans;;;;;
541;6#48;the trousers;Clothing and grooming;feminalia;selection;1;not worn by everyone?;Latin;0;;;
542;6#49;the sock or stocking;Clothing and grooming;udo;selection;1;not worn by everyone?;Greek;1;;;
543;6#51;the shoe;Clothing and grooming;calceus;selection;0;worn by Romans;Etruscan;0.5;;;
544;6#52;the boot;Clothing and grooming;cothurnus;selection;1;not worn by everyone?;Greek;1;;;
545;6#54;the shoemaker;Clothing and grooming;sutor;selection;1;specialised trades;Latin;0;;;
546;6#55;the hat or cap;Clothing and grooming;petasus;selection;0;worn by Romans;Greek;1;;;
547;6#57;the belt;Clothing and grooming;petasus;selection;0;worn by Romans;Greek;1;;;
548;6#58;the glove;Clothing and grooming;manus intectus;compound;0;worn by Romans;;;;;
549;6#59;the veil;Clothing and grooming;rica;selection;1;not worn by everyone?;Latin;0;;;
550;6#61;the pocket;Clothing and grooming;sacculus;nonspecific;0;worn by Romans;Greek;1;;;
551;6#62;the button;Clothing and grooming;;anachronism;0;worn by Romans;;;;;
552;6#63;the pin;Clothing and grooming;acus;selection;0;worn by Romans;Latin;0;;;
553;6#71;the ornament or adornment;Clothing and grooming;ornamentum;selection;0;worn by Romans;Latin;0;;;
554;6#72;the jewel;Clothing and grooming;gemma;selection;1;not worn by everyone?;Latin;0;;;
555;6#73;the ring;Clothing and grooming;anulus;selection;1;not worn by everyone?;Latin;0;;;
556;6#74;the bracelet;Clothing and grooming;armilla;selection;1;not worn by everyone?;Latin;0;;;
557;6#75;the necklace;Clothing and grooming;monile;selection;1;not worn by everyone?;Latin;0;;;
558;6#76;the bead;Clothing and grooming;;none?;0;worn by Romans;;;;;
559;6#77;the earring;Clothing and grooming;inaures;selection;1;not worn by everyone?;Latin;0;;;
560;6#78;the headband or headdress;Clothing and grooming;vitta;selection;1;not worn by everyone?;Latin;0;;;
561;6#79;the tattoo;Clothing and grooming;;none?;1;not worn by everyone?;;;;;
562;6#81;the handkerchief or rag;Clothing and grooming;sudarium;selection;0;present in every home?;Latin;0;;;
563;6#82;the towel;Clothing and grooming;mantele;selection;0;present in every home?;Latin;0;;;
564;6#91;the comb;Clothing and grooming;pecten;selection;0;present in every home?;Latin;0;;;
565;6#92;the brush;Clothing and grooming;peniculus;selection;0;present in every home?;Latin;0;;;
566;6#921;the plait/braid;Clothing and grooming;spira;selection;0;worn by Romans;Greek;1;;;
567;6#93;the razor;Clothing and grooming;novacula;selection;0;present in every home?;Latin;0;;;
568;6#94;the ointment;Clothing and grooming;unguentum;selection;0;present in every home?;Latin;0;;;
569;6#95;the soap;Clothing and grooming;sapo;anachronism;1;not in general use;Germanic Celtic;1;;;
570;6#96;the mirror;Clothing and grooming;speculum;selection;1;not in general use;Latin;0;;;
571;6#98;the snowshoe;Clothing and grooming;calceus nivibus traiciendis aptus factusque;compound;1;not in general use;;;;;
572;7#11;to live;The house;habito;selection;0;universal concept;Latin;0;;;
573;7#12;the house;The house;domus;selection;0;universal concept;Latin;0;triibum;Sabellic;0
574;7#13;the hut;The house;tugurium;selection;1;not present in every home;substrate;0.25;;;
575;7#131;the garden-house;The house;;none?;1;not present in every home;;;;;
576;7#14;the tent;The house;tabernaculum;selection;1;not present in every home;Latin;0;;;
577;7#15;the yard or court;The house;area;selection;1;not present in every home;Latin;0;;;
578;7#16;the men's house;The house;;none?;1;not present in every home;;;;;
579;7#17;the cookhouse;The house;;none?;1;not present in every home;;;;;
580;7#18;the meeting house;The house;conventiculum;selection;1;outside the home;Latin;0;;;
581;7#21;the room;The house;conclave;selection;0;present in every home?;Latin;0;;;
582;7#22;the door or gate;The house;ianua;selection;0;present in every home?;Latin;0;;;
583;7#221;the doorpost;The house;postis;selection;0;present in every home?;Latin;0;;;
584;7#23;the lock;The house;;anachronism;1;not present in every home;;;;;
585;7#231;the latch or door-bolt;The house;pessulus;selection;1;not present in every home;Greek;1;;;
586;7#232;the padlock;The house;;anachronism;1;not present in every home;;;;;
587;7#24;the key;The house;clavis;selection;1;not present in every home;Latin;0;;;
588;7#25;the window;The house;fenestra;selection;0;present in every home?;Etruscan;0.25;;;
589;7#26;the floor;The house;solum;selection;0;present in every home?;Latin;0;;;
590;7#27;the wall;The house;murus;selection;0;present in every home?;Latin;0;;;
591;7#31;the fireplace;The house;focus;selection;0;present in every home?;Latin;0;;;
592;7#32;the stove;The house;focus;selection;0;present in every home?;Latin;0;;;
593;7#33;the chimney;The house;;anachronism;1;present in every home?;;;;;
594;7#37;the ladder;The house;scala;selection;0;present in every home?;Latin;0;;;
595;7#42;the bed;The house;lectus;selection;0;present in every home?;Latin;0;;;
596;7#421;the pillow;The house;cervical;selection;0;present in every home?;Latin;0;;;
597;7#422;the blanket;The house;lodix;selection;0;present in every home?;Celtic;1;;;
598;7#43;the chair;The house;sella;selection;0;present in every home?;Latin;0;sersi;Sabellic;0
599;7#44;the table;The house;mensa;selection;0;present in every home?;Latin;0;;;
600;7#45;the lamp or torch;The house;lucerna;selection;0;present in every home?;Latin;0;;;
601;7#46;the candle;The house;candela;selection;0;present in every home?;Latin;0;;;
602;7#47;the shelf;The house;pluteus;selection;0;present in every home?;Latin;0;;;
603;7#48;the trough;The house;alveus;selection;0;present in every home?;Latin;0;;;
604;7#51;the roof;The house;tectum;selection;0;present in every home?;Latin;0;;;
605;7#52;the thatch;The house;stramentum;selection;0;present in every home?;Latin;0;;;
606;7#53;the ridgepole;The house;;none?;0;present in every home?;;;;;
607;7#54;the rafter;The house;trabs;nonspecific;0;present in every home?;Latin;0;;;
608;7#55;the beam;The house;trabs;selection;0;present in every home?;Latin;0;;;
609;7#56;the post or pole;The house;asser;selection;0;present in every home?;Latin;0;;;
610;7#57;the board;The house;tabula;selection;0;present in every home?;Latin;0;tafle;Sabellic;0
611;7#58;the arch;The house;arcus;selection;1;specialised trades;Latin;0;;;
612;7#61;the mason;The house;structor;selection;1;specialised trades;Latin;0;;;
613;7#62;the brick;The house;later;selection;1;specialised trades;Latin;0;;;
614;7#63;the mortar(2);The house;mortarium;selection;1;specialised trades;Latin;0;;;
615;7#64;the adobe;The house;later;nonspecific;0;present in every home;;;;;
616;7#65;the camp;The house;castra;selection;0;present in every home;Latin;0;;;
617;7#66;the hammock;The house;lectus suspensus;selection;1;not present in every home;Latin;0;;;
618;7#67;to tan;The house;coria perficio;compound;1;specialised trades;;;;;
619;8#11;the farmer;Agriculture and vegetation;agricola;selection;0;universal concept;Latin;0;;;
620;8#12;the field;Agriculture and vegetation;ager;selection;0;common action in farm;Latin;0;arvam;Sabellic;0
621;8#121;the paddy;Agriculture and vegetation;;anachronism;1;;;;;;
622;8#13;the garden;Agriculture and vegetation;hortus;selection;1;not in every home;Latin;0;hurtin;Sabellic;0
623;8#15;to cultivate;Agriculture and vegetation;colere;selection;0;common action in farm;Latin;0;;;
624;8#16;the fence;Agriculture and vegetation;saepes;selection;0;common action in farm;Latin;0;;;
625;8#17;the ditch;Agriculture and vegetation;fossa;selection;0;common action in farm;Latin;0;;;
626;8#21;to plough/plow;Agriculture and vegetation;arare;selection;0;common action in farm;Latin;0;;;
627;8#212;the furrow;Agriculture and vegetation;sulcus;selection;0;common action in farm;Latin;0;;;
628;8#22;to dig;Agriculture and vegetation;fodio;selection;0;common action in farm;Latin;0;;;
629;8#23;the spade;Agriculture and vegetation;pala;selection;0;common implement;Latin;0;;;
630;8#24;the shovel;Agriculture and vegetation;pala;selection;0;common implement;Latin;0;;;
631;8#25;the hoe;Agriculture and vegetation;sarculum;selection;0;common implement;Latin;0;;;
632;8#26;the fork(2)/pitchfork;Agriculture and vegetation;furca;selection;0;common implement;Sabellic;0.25;;;
633;8#27;the rake;Agriculture and vegetation;rastellus;selection;0;common implement;Latin;0;;;
634;8#28;the digging stick (=yamstick);Agriculture and vegetation;;none?;1;;;;;;
635;8#29;the lasso;Agriculture and vegetation;;anachronism;1;;;;;;
636;8#31;to sow;Agriculture and vegetation;serere;selection;0;common action in farm;Latin;0;;;
637;8#311;the seed;Agriculture and vegetation;semen;selection;0;common action in farm;Latin;0;;;
638;8#32;to mow;Agriculture and vegetation;secare;selection;0;common action in farm;Latin;0;;;
639;8#33;the sickle or scythe;Agriculture and vegetation;falx;selection;0;common implement;Sabellic;0.75;;;
640;8#34;to thresh;Agriculture and vegetation;extero;selection;0;common action in farm;Latin;0;;;
641;8#35;the threshing-floor;Agriculture and vegetation;area;selection;0;common action in farm;Latin;0;;;
642;8#41;the harvest;Agriculture and vegetation;messis;selection;0;common action in farm;Latin;0;;;
643;8#42;the grain;Agriculture and vegetation;frumentum;selection;0;domesticated plant;Latin;0;;;
644;8#43;the wheat;Agriculture and vegetation;triticum;selection;0;domesticated plant;Latin;0;;;
645;8#44;the barley;Agriculture and vegetation;hordeum;selection;0;domesticated plant;substrate;0.5;;;
646;8#45;the rye;Agriculture and vegetation;secale;selection;0;domesticated plant;substrate;0.75;;;
647;8#46;the oats;Agriculture and vegetation;avena;selection;0;domesticated plant;substrate;0.5;;;
648;8#47;the maize/corn;Agriculture and vegetation;;anachronism;1;;;;;;
649;8#48;the rice;Agriculture and vegetation;oryza;selection;1;;Greek;1;;;
650;8#51;the grass;Agriculture and vegetation;gramen / herba;selection;0;universal to plants;substrate;0.25;;;
651;8#52;the hay;Agriculture and vegetation;faenum;selection;0;universal to plants;Latin;0;;;
652;8#53;the plant;Agriculture and vegetation;herba;selection;0;universal to plants;Latin;0;;;
653;8#531;to plant;Agriculture and vegetation;sero;selection;0;universal to plants;Latin;0;;;
654;8#54;the root;Agriculture and vegetation;radix;selection;0;universal to plants;Latin;0;;;
655;8#55;the branch;Agriculture and vegetation;ramus;selection;0;universal to plants;Latin;0;;;
656;8#56;the leaf;Agriculture and vegetation;folium;selection;0;universal to plants;Latin;0;;;
657;8#57;the flower;Agriculture and vegetation;flos;selection;0;universal to plants;Latin;0;;;
658;8#6;the tree;Agriculture and vegetation;arbor;selection;0;universal to plants;Latin;0;;;
