"Date","fit","se","lower","upper"
-650,0.0210841786036493,0.0127539918343436,0.00637448737760185,0.0674341161501979
-649.4,0.021139890140028,0.0127713123656594,0.00640100660004775,0.067510454249117
-648.8,0.0211957456977402,0.0127886340283447,0.00642763503367194,0.0675868764571856
-648.2,0.0212517456322349,0.0128059567109546,0.00645437311913159,0.0676633828714243
-647.6,0.0213078902997491,0.0128232803015123,0.00648122129878582,0.0677399735890371
-647,0.0213641800573092,0.0128406046875079,0.0065081800167016,0.0678166487074126
-646.4,0.021420615262732,0.0128579297558969,0.00653524971865964,0.067893408324125
-645.8,0.0214771962746261,0.0128752553930987,0.00656243085216038,0.0679702525369346
-645.2,0.0215339234523932,0.0128925814849951,0.00658972386642996,0.0680471814437891
-644.6,0.0215907971562294,0.0129099079169291,0.00661712921242614,0.0681241951428245
-644,0.0216478177471263,0.012927234573703,0.00664464734284435,0.0682012937323659
-643.4,0.0217049855868723,0.0129445613395774,0.00667227871212362,0.0682784773109283
-642.8,0.0217623010380541,0.0129618880982693,0.00670002377645267,0.068355745977218
-642.2,0.0218197644640576,0.0129792147329511,0.00672788299377587,0.0684330998301329
-641.6,0.0218773762290695,0.0129965411262487,0.00675585682379938,0.0685105389687642
-641,0.0219351366980782,0.0130138671602405,0.0067839457279971,0.0685880634923967
-640.4,0.0219930462368756,0.0130311927164556,0.00681215016961683,0.0686656735005102
-639.8,0.0220511052120576,0.0130485176758725,0.00684047061368629,0.0687433690927803
-639.2,0.022109313991026,0.0130658419189174,0.00686890752701927,0.0688211503690795
-638.6,0.0221676729419896,0.0130831653254634,0.00689746137822177,0.068899017429478
-638,0.0222261824339652,0.0131004877748281,0.00692613263769805,0.0689769703742452
-637.4,0.0222848428367791,0.013117809145773,0.00695492177765681,0.0690550093038497
-636.8,0.0223436545210683,0.0131351293165017,0.00698382927211737,0.0691331343189614
-636.2,0.0224026178582819,0.0131524481646583,0.00701285559691585,0.069211345520452
-635.6,0.0224617332206819,0.0131697655673262,0.00704200122971131,0.0692896430093963
-635,0.0225210009813449,0.0131870814010266,0.00707126664999197,0.0693680268870727
-634.4,0.0225804215141632,0.0132043955417169,0.00710065233908145,0.0694464972549648
-633.8,0.022639995193846,0.0132217078647897,0.00713015878014495,0.0695250542147624
-633.2,0.0226997223959208,0.0132390182450708,0.00715978645819554,0.0696036978683623
-632.6,0.0227596034967342,0.0132563265568179,0.00718953586010038,0.0696824283178695
-632,0.0228196388734539,0.0132736326737196,0.00721940747458701,0.0697612456655982
-631.4,0.0228798289040693,0.0132909364688934,0.0072494017922496,0.0698401500140734
-630.8,0.0229401739673928,0.0133082378148846,0.00727951930555532,0.0699191414660312
-630.2,0.0230006744430615,0.0133255365836647,0.00730976050885054,0.0699982201244203
-629.6,0.0230613307115379,0.0133428326466301,0.00734012589836726,0.0700773860924034
-629,0.0231221431541115,0.0133601258746005,0.00737061597222938,0.0701566394733579
-628.4,0.0231831121528999,0.0133774161378178,0.00740123123045907,0.0702359803708771
-627.8,0.02324423809085,0.0133947033059442,0.00743197217498312,0.0703154088887714
-627.2,0.0233055213517392,0.0134119872480612,0.00746283930963934,0.0703949251310697
-626.6,0.0233669623201768,0.0134292678326679,0.00749383314018294,0.0704745292020203
-626,0.0234285613816051,0.0134465449276798,0.00752495417429294,0.0705542212060918
-625.4,0.0234903189223008,0.0134638184004271,0.00755620292157854,0.0706340012479749
-624.8,0.0235522353293758,0.0134810881176536,0.00758757989358563,0.0707138694325833
-624.2,0.0236143109907789,0.0134983539455151,0.00761908560380312,0.0707938258650546
-623.6,0.0236765462952969,0.0135156157495781,0.00765072056766953,0.0708738706507521
-623,0.0237389416325557,0.0135328733948181,0.00768248530257933,0.0709540038952653
-622.4,0.0238014973930215,0.0135501267456185,0.00771438032788952,0.0710342257044121
-621.8,0.023864213968002,0.0135673756657694,0.00774640616492603,0.071114536184239
-621.2,0.0239270917496482,0.0135846200184654,0.0077785633369903,0.0711949354410231
-620.6,0.0239901311309545,0.0136018596663051,0.00781085236936579,0.0712754235812728
-620,0.024053332505761,0.0136190944712891,0.00784327378932444,0.0713560007117295
-619.4,0.0241166962687541,0.013636324294819,0.0078758281261333,0.0714366669393688
-618.8,0.0241802228154679,0.0136535489976955,0.00790851591106102,0.0715174223714015
-618.2,0.0242439125422852,0.0136707684401178,0.00794133767738445,0.0715982671152753
-617.6,0.0243077658464393,0.0136879824816813,0.00797429396039522,0.0716792012786757
-617,0.0243717831260144,0.0137051909813769,0.00800738529740631,0.0717602249695277
-616.4,0.0244359647799472,0.0137223937975895,0.00804061222775865,0.071841338295997
-615.8,0.0245003112080284,0.0137395907880962,0.0080739752928278,0.071922541366491
-615.2,0.0245648228109034,0.0137567818100655,0.00810747503603043,0.0720038342896607
-614.6,0.0246294999900735,0.0137739667200555,0.00814111200283115,0.0720852171744018
-614,0.0246943431478977,0.0137911453740128,0.00817488674074899,0.0721666901298558
-613.4,0.0247593526875932,0.0138083176272711,0.00820879979936416,0.072248253265412
-612.8,0.0248245290132368,0.0138254833345497,0.0082428517303247,0.0723299066907083
-612.2,0.0248898725297665,0.0138426423499522,0.00827704308735311,0.0724116505156331
-611.6,0.0249553836429819,0.0138597945269651,0.00831137442625317,0.0724934848503262
-611,0.0250210627595463,0.0138769397184569,0.00834584630491647,0.0725754098051806
-610.4,0.0250869102869869,0.0138940777766759,0.00838045928332931,0.072657425490844
-609.8,0.025152926633697,0.0139112085532496,0.00841521392357929,0.0727395320182197
-609.2,0.0252191122089363,0.0139283318991832,0.00845011078986209,0.0728217294984689
