"Language","fit","se","lower","upper"
"Latin",0.145598785744759,0.0651328593255087,0.0575549162183773,0.32227113198255
"Messapic",0.488724969317309,0.224784916969011,0.140845439518434,0.847880096539311
"Oscan",0.076648491030282,0.0440027438493183,0.0239541293130449,0.219224507823389
"Umbrian",0.047713428530204,0.0227283247209127,0.0184501192237668,0.117819357600868
