"Date_average","fit","se","lower","upper"
-500,0.00624921851113882,0.0111963749750346,0.00018358112777953,0.177206463011289
-400,0.0227192328474994,0.0290814285885969,0.00178115660057941,0.232470297603421
-300,0.0791396571221927,0.0598942387495301,0.0168749246111977,0.300844220146636
-200,0.241105822382246,0.0660146757512086,0.135432377392502,0.391861127912692
-50,0.693083636828198,0.104217898285225,0.463645399534782,0.855056839886915
