"Date","fit","se","lower","upper"
-650,0.070775193326549,0.054659450446501,0.0147187323883007,0.279714521781647
-649.4,0.0707831513460381,0.0546171122556862,0.0147412540512948,0.279450701328489
-648.8,0.0707911101921643,0.0545747851199473,0.014763800754457,0.279187156453023
-648.2,0.0707990698649982,0.054532469098693,0.0147863724835711,0.278923887360659
-647.6,0.0708070303646102,0.0544901642515233,0.0148089692241718,0.278660894256525
-647,0.0708149916910709,0.0544478706382306,0.0148315909615444,0.278398177345475
-646.4,0.0708229538444509,0.0544055883187995,0.0148542376807225,0.278135736832085
-645.8,0.0708309168248208,0.0543633173534084,0.0148769093664874,0.277873572920661
-645.2,0.0708388806322509,0.0543210578024293,0.0148996060033667,0.277611685815237
-644.6,0.070846845266812,0.054278809726429,0.0149223275756329,0.277350075719579
-644,0.0708548107285746,0.0542365731861692,0.0149450740673024,0.277088742837188
-643.4,0.0708627770176092,0.0541943482426077,0.0149678454621342,0.276827687371301
-642.8,0.0708707441339863,0.0541521349568988,0.0149906417436284,0.276566909524892
-642.2,0.0708787120777766,0.0541099333903938,0.0150134628950253,0.276306409500678
-641.6,0.0708866808490506,0.0540677436046417,0.0150363088993036,0.276046187501118
-641,0.0708946504478788,0.0540255656613901,0.0150591797391798,0.275786243728415
-640.4,0.070902620874332,0.0539833996225854,0.0150820753971065,0.275526578384522
-639.8,0.0709105921284805,0.053941245550374,0.0151049958552711,0.275267191671141
-639.2,0.070918564210395,0.0538991035071023,0.0151279410955946,0.275008083789725
-638.6,0.0709265371201461,0.053856973555318,0.0151509110997306,0.274749254941482
-638,0.0709345108578043,0.0538148557577701,0.0151739058490634,0.274490705327377
-637.4,0.0709424854234402,0.0537727501774102,0.0151969253247072,0.274232435148134
-636.8,0.0709504608171245,0.0537306568773927,0.0152199695075046,0.273974444604239
-636.2,0.0709584370389276,0.0536885759210757,0.0152430383780254,0.27371673389594
-635.6,0.0709664140889202,0.0536465073720213,0.0152661319165652,0.273459303223251
-635,0.070974391967173,0.0536044512939969,0.0152892501031439,0.273202152785957
-634.4,0.0709823706737563,0.053562407750975,0.0153123929175048,0.272945282783609
-633.8,0.070990350208741,0.0535203768071349,0.015335560339113,0.272688693415536
-633.2,0.0709983305721975,0.0534783585268622,0.0153587523471541,0.27243238488084
-632.6,0.0710063117641965,0.0534363529747506,0.0153819689205329,0.272176357378399
-632,0.0710142937848086,0.0533943602156018,0.0154052100378721,0.271920611106873
-631.4,0.0710222766341044,0.0533523803144263,0.015428475677511,0.271665146264704
-630.8,0.0710302603121545,0.0533104133364442,0.0154517658175038,0.27140996305012
-630.2,0.0710382448190294,0.0532684593470862,0.0154750804356188,0.271155061661134
-629.6,0.0710462301547999,0.0532265184119934,0.0154984195093366,0.27090044229555
-629,0.0710542163195365,0.0531845905970188,0.015521783015849,0.270646105150963
-628.4,0.07106220331331,0.0531426759682277,0.0155451709320575,0.270392050424763
-627.8,0.0710701911361907,0.0531007745918981,0.0155685832345722,0.270138278314137
-627.2,0.0710781797882495,0.0530588865345219,0.0155920198997098,0.26988478901607
-626.6,0.0710861692695569,0.053017011862805,0.015615480903493,0.269631582727351
-626,0.0710941595801836,0.0529751506436687,0.0156389662216486,0.26937865964457
-625.4,0.0711021507202002,0.0529333029442497,0.0156624758296063,0.269126019964125
-624.8,0.0711101426896773,0.052891468831901,0.0156860097024974,0.268873663882225
-624.2,0.0711181354886856,0.0528496483741929,0.0157095678151531,0.268621591594885
-623.6,0.0711261291172956,0.0528078416389132,0.0157331501421035,0.26836980329794
-623,0.0711341235755782,0.0527660486940683,0.0157567566575759,0.268118299187036
-622.4,0.0711421188636038,0.0527242696078837,0.0157803873354934,0.267867079457642
-621.8,0.0711501149814432,0.0526825044488046,0.0158040421494739,0.267616144305045
-621.2,0.071158111929167,0.0526407532854968,0.015827721072828,0.267365493924359
-620.6,0.0711661097068458,0.0525990161868473,0.0158514240785583,0.26711512851052
-620,0.0711741083145503,0.052557293221965,0.0158751511393575,0.266865048258296
-619.4,0.0711821077523512,0.0525155844601815,0.015898902227607,0.266615253362286
-618.8,0.0711901080203191,0.0524738899710515,0.0159226773153757,0.26636574401692
-618.2,0.0711981091185247,0.052432209824354,0.0159464763744185,0.266116520416468
-617.6,0.0712061110470386,0.0523905440900924,0.0159702993761747,0.265867582755037
-617,0.0712141138059316,0.0523488928384957,0.0159941462917668,0.265618931226574
-616.4,0.0712221173952743,0.0523072561400192,0.0160180170919989,0.265370566024871
-615.8,0.0712301218151373,0.0522656340653446,0.0160419117473552,0.265122487343567
-615.2,0.0712381270655913,0.0522240266853815,0.0160658302279986,0.264874695376149
-614.6,0.0712461331467071,0.0521824340712678,0.0160897725037693,0.264627190315955
-614,0.0712541400585552,0.0521408562943701,0.0161137385441834,0.264379972356179
-613.4,0.0712621478012064,0.0520992934262848,0.0161377283184313,0.264133041689869
-612.8,0.0712701563747314,0.052057745538839,0.0161617417953762,0.263886398509934
-612.2,0.0712781657792008,0.0520162127040905,0.0161857789435526,0.263640043009144
-611.6,0.0712861760146854,0.0519746949943291,0.0162098397311651,0.263393975380133
-611,0.0712941870812558,0.0519331924820773,0.0162339241260866,0.263148195815403
-610.4,0.0713021989789828,0.0518917052400907,0.016258032095857,0.262902704507324
-609.8,0.0713102117079369,0.0518502333413591,0.0162821636076816,0.262657501648138
-609.2,0.071318225268189,0.0518087768591069,0.0163063186284298,0.262412587429964
-608.6,0.0713262396598097,0.0517673358667941,0.0163304971246331,0.262167962044796
-608,0.0713342548828698,0.0517259104381166,0.0163546990624843,0.261923625684508
