"Language","fit","se","lower","upper"
"Latin",0.276995092752228,0.0310837626081203,0.220350907974056,0.341816479918568
"Messapic",0.315886233463821,0.127363478060771,0.126985376760486,0.594450899260279
"Oscan",0.0767274377118957,0.0271487270805531,0.0377314979709797,0.149753976739407
"Umbrian",0.098675888412962,0.0150972299163611,0.0727816854495347,0.132466552203672
