;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Heads;Siblings;Constituent;Verbal_head;Main_clause;Order;Check;Konneker
143392;2388;3371;1;143392;2;lemetorẹ<.i.;lemetorei;OBJ;143394;1470595.0;14524a;14524;1.0;Venetic;C-stem;noun;-;-;-;-;-;singular;M;DAT;-;n-s---md-;M-dat-sg;Lemetor;PROPER;PERSONAL;Lemetor;Lemetori;-;-;-;mego lemetorẹ<.i. v>ḥratere.ị. do/na.s.to bo.i.iio.s. / vo.l.tiio.m.mno.i.;;18 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-199.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;6;0;-100.0;-1;[143394];[143392];2;dono;1;0;[143392];0
143404;2390;3373;1;143404;3;re.i.tia.i;reitiai;OBJ;143402;1470522.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;[ ]/tina doto / re.i.tia.i;;20 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;3;218085;-300.0;-3;[143402];[143404];1;do;1;1;[143404];0
143408;2391;3374;1;143408;4;re.i.tiia.i.;reitiiai;OBJ;143407;1470550.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;vho.u.go.n.ta.i. vho.u.go.n.tna dona.s.to re.i.tiia.i.;;21 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;4;218105;-300.0;-3;[143407];[143408];1;dono;1;1;[143408];0
143411;2392;3375;1;143411;3;re.i.tiia.i.;reitiiai;OBJ;143410;1470551.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;vhre/ma/.i..s./tna doto re.i.tiia.i.;;22 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;3;218106;-300.0;-3;[143410];[143411];1;do;1;1;[143411];0
143416;2393;3376;1;143416;4;re.i.tia.i.;reitiai;OBJ;143414;1470527.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;vhugia vhrema.i.s.tna.i. doto / re.i.tia.i.;;23 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;4;218107;-300.0;-3;[143414];[143416];1;do;1;1;[143416];0
143431;2396;3379;1;143431;5;śa.i.n/ate.i.;sainatei;OBJ;143428;1470250.0;14617a;14617;21.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Saenatis;PROPER;THEONYM;Saenatis;Saenati;-;-;-;mego doto vhu.g.siia votna śa.i.n/ate.i. re.i.tiia.i. o.p vo.l.tiio leno;;25 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;9;218109;-300.0;-3;[143428];[143431];2;do;1;1;[143431];0
143438;2397;3380;1;143438;3;śa.i./nate.i.;sainatei;OBJ;143437;1470248.0;14617a;14617;21.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Saenatis;PROPER;THEONYM;Saenatis;Saenati;-;-;-;mego dona.s.to śa.i./nate.i. re.i.tiia.i. pora.i. / .e.getora .r.i.mo.i. ke lo/.u.derobo.s.;;26 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;9;218110;-300.0;-3;[143437];[143438];2;dono;1;1;[143438];0
143448;2398;3381;1;143448;3;re.i.tia.i.;reitiai;OBJ;143447;1470524.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;mego doto re.i.tia.i. / bu.k.ka kolia.i.;;27 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218111;-300.0;-3;[143447];[143448];1;do;1;1;[143448];0
143456;2399;3382;1;143456;4;re.i.tie.i.;reitiei;OBJ;143457;1470529.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;vda.n. vhugia .u.r.kle.i.na / re.i.tie.i. dona.s.to;;28 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218112;-300.0;-3;[143457];[143456];1;dono;1;0;[143456];0
143461;2400;3383;1;143461;4;r.i.tiia.i.;ritiiai;OBJ;143460;1470553.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;vhu.g.siia vo.l.tiio.n.mnin dona/.s.to r.i.tiia.i. mego;;29 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218113;-300.0;-3;[143460];[143461];1;dono;1;1;[143461];0
