;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Text_ID_head;Sentence_ID_head;Sentence_position_head;Token_ID_head;Token_position_head;Token_head;Token_clean_head;Relation_head;Head_head;Analysis_ID_head;Lemma_head;Lemma_simplex_head;Lemma_frequency_head;Language_head;Morphological_type_head;Part_of_speech_head;Stem_head;Tense_head;Mood_head;Diathesis_head;Person_head;Number_head;Gender_head;Case_head;Category_head;POS_head;Tags_head;Meaning_head;Meaning_category_head;Meaning_subcategory_head;Classical_Latin_equivalent_head;Classical_Latin_Form_head;TAM_analysis_head;Standard_aligned_head;Form_aligned_head;Sentence_head;Section_head;Reference_head;Name_head;Language_(text)_head;Language_family_head;Language_variety_head;Script_head;Date_after_head;Date_before_head;Provenance_head;GeoID_head;Latitude_head;Longitude_head;Finite_verb_head;Analysable_token_head;Text_length_head;Trismegistos_ID_head;Date_head;Century_head;Order
155640;995;1156;87;155640;12;marties:;marties;ATR;155639;201295.0;10825a;10825;37.0;Umbrian;O-stem;adjective;-;-;-;-;-;singular;M;GEN;-;a-s---mg-;M-gen-sg;Martius;PROPER;THEONYM;Martius;Marti;-;martyeys;martie-s;27 rupinie: e: tre: purka: rufra: ute: peia: fetu: prestate: / 28 çerfie: çerfe: marties:;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1156;87;155639;11;çerfe:;cerfe;ATR;155637;201294.0;10655a;10655;35.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Serfus;PROPER;THEONYM;Serfus;Serfi;-;kereseys;çer-fe--;27 rupinie: e: tre: purka: rufra: ute: peia: fetu: prestate: / 28 çerfie: çerfe: marties:;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
155668;995;1163;94;155668;8;çerfe:;cerfe;ATR;155666;201323.0;10655a;10655;35.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Serfus;PROPER;THEONYM;Serfus;Serfi;-;kereseys;çer-fe--;31 tra: sate: tref: vitlaf: feitu: tuse: çerfie: çerfe: marties:;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1163;94;155666;6;tuse:;tuse;OBJ;155665;201321.0;11547a;11547;10.0;Umbrian;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Tursa;PROPER;THEONYM;Tursa;Tursae;-;torsay;tus-e-;31 tra: sate: tref: vitlaf: feitu: tuse: çerfie: çerfe: marties:;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
155669;995;1163;94;155669;9;marties:;marties;ATR;155668;201324.0;10825a;10825;37.0;Umbrian;O-stem;adjective;-;-;-;-;-;singular;M;GEN;-;a-s---mg-;M-gen-sg;Martius;PROPER;THEONYM;Martius;Marti;-;martyeys;martie-s;31 tra: sate: tref: vitlaf: feitu: tuse: çerfie: çerfe: marties:;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1163;94;155668;8;çerfe:;cerfe;ATR;155666;201323.0;10655a;10655;35.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Serfus;PROPER;THEONYM;Serfus;Serfi;-;kereseys;çer-fe--;31 tra: sate: tref: vitlaf: feitu: tuse: çerfie: çerfe: marties:;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
155748;995;1180;111;155748;3;sehmeniar:;sehmeniar;ATR;155747;201403.0;11364a;11364;5.0;Umbrian;A-stem;adjective;-;-;-;-;-;singular;F;GEN;-;a-s---fg-;F-gen-sg;Semonia;PROPER;CALENDAR?;Semonia;Semoniae;-;seemenyaas;sehmenia-r;42 hutra: furu sehmeniar: hatutu: eaf;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1180;111;155747;2;furu;furu;ADV;155746;201402.0;10465a;10465;2.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;forum;GEOGRAPHY;-;forum;forum;-;forom;furu-;42 hutra: furu sehmeniar: hatutu: eaf;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
155772;995;1186;117;155772;5;titis;titis;ATR;155771;201427.0;11543a;11543;13.0;Umbrian;YO-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Titus;PROPER;PERSONAL;Titus;Titi;-;titeys;titi-s;45 kvestre{:}tie: usaç̣e: svesu vuvçis titis teteies:;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1186;117;155771;4;vuvçis;vuvcis;SBJ;155769;201426.0;10783a;10783;4.0;Umbrian;YO-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;Lucius;PROPER;PERSONAL;Lucius;Lucius;-;luwkyos;vuvçi-s;45 kvestre{:}tie: usaç̣e: svesu vuvçis titis teteies:;Table 1b (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
155794;995;1189;120;155794;4;atiieřie:;atiierie;ATR;155792;201449.0;10170a;10170;24.0;Umbrian;YO-stem;adjective;-;-;-;-;-;singular;F;GEN;-;a-s---fg-;F-gen-sg;Atiedian;PROPER;PERSONAL;Atiedius;Atiediae;-;ati-edyeys;atiieřie--;3 peře: karne: speturie: atiieřie: aviekate: / 4 aiu: urtu: fefure: fetu: puze neip eretu:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1189;120;155792;2;karne:;karne;SBJ;155795;201447.0;10611a;10611;7.0;Umbrian;C-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;part;-;-;pars;parti;-;karoney;kar-ne-;3 peře: karne: speturie: atiieřie: aviekate: / 4 aiu: urtu: fefure: fetu: puze neip eretu:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
155881;995;1212;143;155881;2;katle:;katle;ATR;155882;201536.0;10621a;10621;7.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;dog;ANIMAL;-;catulus;catuli;-;katoleys;kat-le--;15 huntia: katle: tiçel: stakaz: est: sume: ustite: / 16 anter{:}menzaru: çersiaru:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1212;143;155882;3;tiçel:;ticel;SBJ;155883;201537.0;10301a;10301;4.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;sacral declaration;RELIGION;-;dedicatio;dedicatio;-;dikelos;tiçel--;15 huntia: katle: tiçel: stakaz: est: sume: ustite: / 16 anter{:}menzaru: çersiaru:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;0
155887;995;1212;143;155887;8;anter{:}menzaru:;antermenzaru;ATR;155886;201542.0;10114a;10114;1.0;Umbrian;A-stem;noun;-;-;-;-;-;plural;F;GEN;-;n-p---fg-;F-gen-pl;new moon;-;-;inter menses;inter mensium;-;antermensaasoom;antermenza-ru--;15 huntia: katle: tiçel: stakaz: est: sume: ustite: / 16 anter{:}menzaru: çersiaru:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1212;143;155886;7;ustite:;ustite;OBJ;155883;201541.0;10965a;10965;2.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;?;LOC;-;n-s------;sg;-;-;-;-;-;-;obstitey;u-stite-;15 huntia: katle: tiçel: stakaz: est: sume: ustite: / 16 anter{:}menzaru: çersiaru:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
155888;995;1212;143;155888;9;çersiaru:;cersiaru;ATR;155887;201543.0;10659a;10659;1.0;Umbrian;YO-stem;adjective;-;-;-;-;-;plural;F;GEN;-;a-p---fg-;F-gen-pl;Cerealia;PROPER;CALENDAR;Cerealia;Cerealiarum;-;kertyaasoom;çersia-ru--;15 huntia: katle: tiçel: stakaz: est: sume: ustite: / 16 anter{:}menzaru: çersiaru:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1212;143;155887;8;anter{:}menzaru:;antermenzaru;ATR;155886;201542.0;10114a;10114;1.0;Umbrian;A-stem;noun;-;-;-;-;-;plural;F;GEN;-;n-p---fg-;F-gen-pl;new moon;-;-;inter menses;inter mensium;-;antermensaasoom;antermenza-ru--;15 huntia: katle: tiçel: stakaz: est: sume: ustite: / 16 anter{:}menzaru: çersiaru:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
155931;995;1218;149;155931;10;fratru:;fratru;ATR;155930;201586.0;10469a;10469;23.0;Umbrian;C-stem;noun;-;-;-;-;-;plural;M;GEN;-;n-p---mg-;M-gen-pl;brother;RELATION;-;frater;fratrum;-;fraatroom;fra-tru--;20 hunte: iuvie: ampentu: katlu: / 21 sakre: sevakne: petruniaper: natine: fratru: atiieřiu:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;995;1218;149;155930;9;natine:;natine;ADV;155929;201585.0;10500a;10500;3.0;Umbrian;C-stem;noun;-;-;-;-;-;singular;F;ABL;-;n-s---fb-;F-abl-sg;gens;-;-;gens;gente;-;gnatyoni;-nati-ne;20 hunte: iuvie: ampentu: katlu: / 21 sakre: sevakne: petruniaper: natine: fratru: atiieřiu:;Table 2a (native Umbrian alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-350.0;-300.0;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-325.0;-3;1
