;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Text_ID_head;Sentence_ID_head;Sentence_position_head;Token_ID_head;Token_position_head;Token_head;Token_clean_head;Relation_head;Head_head;Analysis_ID_head;Lemma_head;Lemma_simplex_head;Lemma_frequency_head;Language_head;Morphological_type_head;Part_of_speech_head;Stem_head;Tense_head;Mood_head;Diathesis_head;Person_head;Number_head;Gender_head;Case_head;Category_head;POS_head;Tags_head;Meaning_head;Meaning_category_head;Meaning_subcategory_head;Classical_Latin_equivalent_head;Classical_Latin_Form_head;TAM_analysis_head;Standard_aligned_head;Form_aligned_head;Sentence_head;Section_head;Reference_head;Name_head;Language_(text)_head;Language_family_head;Language_variety_head;Script_head;Date_after_head;Date_before_head;Provenance_head;GeoID_head;Latitude_head;Longitude_head;Finite_verb_head;Analysable_token_head;Text_length_head;Trismegistos_ID_head;Date_head;Century_head;Order
180102;9;12;1;180102;3;popliosio;popliosio;ATR;180104;1467477.0;13447a;13447;1.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Poplius;PROPER;PERSONAL;Poplius;Popli;-;popl---i-;popliosio;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;9;12;1;180104;5;suodales;suodales;SBJ;180101;1465859.0;13832a;13832;4.0;Latin;C-stem;noun;-;-;-;-;-;plural;M;NOM;-;n-p---mn-;M-nom-pl;companion;HUMAN;-;sodalis;sodales;-;so-dales;suodales;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;0
180103;9;12;1;180103;4;valesiosio;valesiosio;ATR;180102;1467732.0;14112a;14112;14.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Valerius;PROPER;PERSONAL;Valerius;Valeri;-;ualer---i-;ualesiosio;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;9;12;1;180102;3;popliosio;popliosio;ATR;180104;1467477.0;13447a;13447;1.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Poplius;PROPER;PERSONAL;Poplius;Popli;-;popl---i-;popliosio;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;1
210623;58;65;1;210623;3;q(uinti);quinti;ATR;210624;1468352.0;13578a;13578;138.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Quintus;PROPER;PERSONAL;Quintus;Quinti;-;quinti;quinti;M(arcus) Folv[io(s) Q(uinti) f(ilius) co(n)s]ol [dede]d Volsi[niis] cap[tis];;CIL I² 2836 I;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-264.0;Rome;;41.9097374;11.9768924;True;True;8;264162;-264.0;-2;58;65;1;210624;4;f(ilius);filius;APOS;210621;1467298.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;M(arcus) Folv[io(s) Q(uinti) f(ilius) co(n)s]ol [dede]d Volsi[niis] cap[tis];;CIL I² 2836 I;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-264.0;Rome;;41.9097374;11.9768924;True;True;8;264162;-264.0;-2;0
213819;86;94;2;213819;6;[ceiv]ium;ceivium;ATR;213815;1465934.0;12208a;12208;36.0;Latin;C-stem;noun;-;-;-;-;-;plural;M;GEN;-;n-p---mg-;M-gen-pl;citizen;HUMAN;-;civis;civium;-;ciuiu-m;ceiuium;sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod;;CIL IX 782;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-314.0;-250.0;Luceria (Lucera);;41.5;15.333333;True;True;32;513924;-282.0;-2;86;94;2;213815;2;quis;quis;SBJ;213818;1469606.0;13579a;13579;91.0;Latin;E-stem;pronoun;-;-;-;-;-;singular;M;NOM;-;p-s---mn-;M-nom-sg;anyone;-;-;quis;quis;-;quis;quis;sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod;;CIL IX 782;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-314.0;-250.0;Luceria (Lucera);;41.5;15.333333;True;True;32;513924;-282.0;-2;1
236990;88;97;1;236990;2;numeri;numeri;ATR;236991;1467750.0;13184a;13184;65.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Numerius;PROPER;PERSONAL;Numerius;Numeri;-;numeri;numeri;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;88;97;1;236991;3;[uxor];uxor;APOS;236989;1465730.0;14106a;14106;29.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;NOM;-;n-s---fn-;F-nom-sg;wife;RELATION;-;uxor;uxor;-;uxor;uxor;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;0
236992;88;97;1;236992;4;nationu(s);nationus;ATR;236993;1465473.0;13129a;13129;3.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;GEN;-;n-s---fg-;F-gen-sg;birth;-;-;natio;nationis;-;nationis;nationus;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;88;97;1;236993;5;gratia;gratia;ADV;236999;1464986.0;12651a;12651;1.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ABL;-;n-s---fb-;F-abl-sg;favor;-;-;gratia;gratia;-;gratia;gratia;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;0
236995;88;97;1;236995;7;diovo;diovo;ATR;236996;1465574.0;12785a;12785;29.0;Latin;C-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Jupiter;PROPER;THEONYM;Iuppiter;Iovis;-;-iouis;diouo-;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;88;97;1;236996;8;fileia;fileia;APOS;236994;1464761.0;12536a;12536;114.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;daughter;RELATION;-;filia;filiae;-;filiae;fileia;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;0
251264;111;120;1;251264;3;l(uci);luci;ATR;251265;1466753.0;12908a;12908;534.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Lucius;PROPER;PERSONAL;Lucius;Luci;-;luci;luci;M(arcus) Populicio(s) L(uci) f(ilius) q(uaestores) p(robaverunt) /;;EDCS 59100080;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Aegates Insulae;;37.9590151;12.2320965;True;True;10;674854;-252.5;-2;111;120;1;251265;4;f(ilius);filius;APOS;251262;1467316.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;M(arcus) Populicio(s) L(uci) f(ilius) q(uaestores) p(robaverunt) /;;EDCS 59100080;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Aegates Insulae;;37.9590151;12.2320965;True;True;10;674854;-252.5;-2;0
251284;112;122;1;251284;3;c(ai);cai;ATR;251285;1466426.0;12603a;12603;624.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Gaius;PROPER;PERSONAL;Gaius;Gai;-;gai;cai;L(ucius) Quinctio(s) C(ai) f(ilius) quaistor probavet;;EDCS 68100075;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Phorbantia (Levanzo);;38.0028863;12.3363367;True;True;6;698149;-252.5;-2;112;122;1;251285;4;f(ilius);filius;APOS;251282;1467272.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;L(ucius) Quinctio(s) C(ai) f(ilius) quaistor probavet;;EDCS 68100075;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Phorbantia (Levanzo);;38.0028863;12.3363367;True;True;6;698149;-252.5;-2;0
251290;113;123;1;251290;3;c(ai);cai;ATR;251291;1466427.0;12603a;12603;624.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Gaius;PROPER;PERSONAL;Gaius;Gai;-;gai;cai;L(ucius) Quinctio(s) C(ai) f(ilius) quaistor probavet;;EDCS 68100076;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Phorbantia (Levanzo);;38.0028863;12.3363367;True;True;6;698150;-252.5;-2;113;123;1;251291;4;f(ilius);filius;APOS;251288;1467273.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;L(ucius) Quinctio(s) C(ai) f(ilius) quaistor probavet;;EDCS 68100076;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Phorbantia (Levanzo);;38.0028863;12.3363367;True;True;6;698150;-252.5;-2;0
205834;124;135;1;205834;4;no(ni);noni;ATR;205835;1468203.0;13169a;13169;2.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Nonus;PROPER;PERSONAL;Nonus;Noni;-;noni;noni;M(arcus) C(aius) Pomplio(s) No(ni) f(ilii) / dedron / Hercole;;CIL VI 30898;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-270.0;-231.0;Rome;;41.9097374;11.9768915;True;True;7;280895;-250.5;-2;124;135;1;205835;5;f(ilii);filii;APOS;515075;1467095.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;plural;M;NOM;-;n-p---mn-;M-nom-pl;son;RELATION;-;filius;filii;-;filii;filii;M(arcus) C(aius) Pomplio(s) No(ni) f(ilii) / dedron / Hercole;;CIL VI 30898;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-270.0;-231.0;Rome;;41.9097374;11.9768915;True;True;7;280895;-250.5;-2;0
198870;129;140;1;198870;5;ple{i}b(i);pleibi;ATR;198869;1465759.0;13398a;13398;66.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;GEN;-;n-s---fg-;F-gen-sg;plebs;POLITICS;-;plebs;plebis;-;ple-bis;pleibi-;XI // C(aius) Cinci(os) / aidile(s) / ple{i}b(i) // Q(uintus) [---] / P(ublius) C[---] / probave[r]o(nt);;CIL VI 1277;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-230.0;Ostia;;41.7223927;12.2910138;True;True;9;249668;-264.5;-2;129;140;1;198869;4;aidile(s);aidiles;APOS;515076;1465882.0;11768a;11768;40.0;Latin;C-stem;noun;-;-;-;-;-;plural;M;NOM;-;n-p---mn-;M-nom-pl;aedile;HUMAN;-;aedilis;aediles;-;aediles;aidiles;XI // C(aius) Cinci(os) / aidile(s) / ple{i}b(i) // Q(uintus) [---] / P(ublius) C[---] / probave[r]o(nt);;CIL VI 1277;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-230.0;Ostia;;41.7223927;12.2910138;True;True;9;249668;-264.5;-2;1
237155;132;144;1;237155;4;q(uinti);quinti;ATR;237156;1467909.0;13577a;13577;37.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Quintus;PROPER;PERSONAL;Quintus;Quinti;-;quinti;quinti;Q(uintus) K(aeso) Cestio(s) Q(uinti) f(ilius) / Hercole donu(m) / [d]edero;;CIL XIV 2891;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-225.0;Praeneste (Palestrina);;41.8279573;12.879645;True;True;8;255969;-250.0;-2;132;144;1;237156;5;f(ilii);filii;APOS;515078;1467352.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;plural;M;NOM;-;n-p---mn-;M-nom-pl;son;RELATION;-;filius;filii;-;filii;filii;Q(uintus) K(aeso) Cestio(s) Q(uinti) f(ilius) / Hercole donu(m) / [d]edero;;CIL XIV 2891;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-225.0;Praeneste (Palestrina);;41.8279573;12.879645;True;True;8;255969;-250.0;-2;0
237162;133;145;1;237162;3;l(uci);luci;ATR;237163;1466737.0;12908a;12908;534.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Lucius;PROPER;PERSONAL;Lucius;Luci;-;luci;luci;L(ucius) Gemenio(s) L(uci) f(ilius) Pelt(uino?) / Hercole dono(m) / dat lub(en)s mer(i)tod / pro sed sueq(ue) /;;CIL XIV 2892;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-225.0;Praeneste (Palestrina);;41.8279573;12.8796451;True;True;18;256970;-250.0;-2;133;145;1;237163;4;f(ilius);filius;APOS;237160;1467249.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;L(ucius) Gemenio(s) L(uci) f(ilius) Pelt(uino?) / Hercole dono(m) / dat lub(en)s mer(i)tod / pro sed sueq(ue) /;;CIL XIV 2892;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-225.0;Praeneste (Palestrina);;41.8279573;12.8796451;True;True;18;256970;-250.0;-2;0
198884;138;151;1;198884;3;m(arci);marci;ATR;198885;1466119.0;12982a;12982;412.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Marcus;PROPER;PERSONAL;Marcus;Marci;-;marci;marci;M(arcus) Claudius M(arci) f(ilius) / consol / Hinnad cepit;;CIL VI 1281;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-211.0;-211.0;Rome;;41.9097374;11.9768892;True;True;7;274687;-211.0;-2;138;151;1;198885;4;f(ilius);filius;APOS;198882;1467297.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;M(arcus) Claudius M(arci) f(ilius) / consol / Hinnad cepit;;CIL VI 1281;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-211.0;-211.0;Rome;;41.9097374;11.9768892;True;True;7;274687;-211.0;-2;0
241925;140;153;1;241925;3;p(ubli);publi;ATR;241926;1466963.0;13535a;13535;224.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Publius;PROPER;PERSONAL;Publius;Publi;-;publi;publi;C(aius) Sestio(s) P(ubli) f(ilius) / Q(uintus) Salonio(s) Q(uinti) [f(ilius)] / sexvir(i) q(uaestores) en[bol(um)] / probave[runt];;EDCS 56500187;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-202.0;Drepanon (Trapani);;37.9590151;12.2320965;True;True;12;674853;-233.0;-2;140;153;1;241926;4;f(ilius);filius;APOS;241923;1467197.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;C(aius) Sestio(s) P(ubli) f(ilius) / Q(uintus) Salonio(s) Q(uinti) [f(ilius)] / sexvir(i) q(uaestores) en[bol(um)] / probave[runt];;EDCS 56500187;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-202.0;Drepanon (Trapani);;37.9590151;12.2320965;True;True;12;674853;-233.0;-2;0
160141;141;154;1;160141;3;c(ai);cai;ATR;160142;1466390.0;12603a;12603;624.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Gaius;PROPER;PERSONAL;Gaius;Gai;-;gai;cai;C(aius) Carul(l)io(s) C(ai) f(ilius) / Marcia dede(t);;EDCS 16300133;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-200.0;Minturnae (Minturno);;41.241973;13.768185;True;True;6;249881;-249.5;-2;141;154;1;160142;4;f(ilius);filius;APOS;160139;1467170.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;C(aius) Carul(l)io(s) C(ai) f(ilius) / Marcia dede(t);;EDCS 16300133;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-200.0;Minturnae (Minturno);;41.241973;13.768185;True;True;6;249881;-249.5;-2;0
160771;145;158;1;160771;2;c(ai);cai;ATR;160772;1466410.0;12603a;12603;624.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Gaius;PROPER;PERSONAL;Gaius;Gai;-;gai;cai;C[---]na C(ai) f(ilia) Feroneae / donum dat lubens / merito;;EDCS 08300275;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947072;True;True;8;248045;-212.5;-2;145;158;1;160772;3;f(ilia);filia;APOS;160770;1464770.0;12536a;12536;114.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;NOM;-;n-s---fn-;F-nom-sg;daughter;RELATION;-;filia;filia;-;filia;filia;C[---]na C(ai) f(ilia) Feroneae / donum dat lubens / merito;;EDCS 08300275;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947072;True;True;8;248045;-212.5;-2;0
160779;146;159;1;160779;2;m(arci);marci;ATR;160780;1466072.0;12982a;12982;412.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Marcus;PROPER;PERSONAL;Marcus;Marci;-;marci;marci;[---]urius M(arci) f(ilius) Feron[iae] / [d]at lubens merito;;EDCS 08300276;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947073;True;True;7;248046;-212.5;-2;146;159;1;160780;3;f(ilius);filius;APOS;160778;1467125.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;[---]urius M(arci) f(ilius) Feron[iae] / [d]at lubens merito;;EDCS 08300276;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947073;True;True;7;248046;-212.5;-2;0
161415;147;160;1;161415;5;t(iti);titi;ATR;161416;1468286.0;14013a;14013;98.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Titus;PROPER;PERSONAL;Titus;Titi;-;titi;titi;[Ma]tre Ma/g(nae) // [Ti]ta Varia T(iti) f(ilia) / donom / de[d]et;;EDCS 02700267;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Rome;;41.9097374;11.9768859;True;True;8;272859;-212.5;-2;147;160;1;161416;6;f(ilia);filia;APOS;161413;1464765.0;12536a;12536;114.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;NOM;-;n-s---fn-;F-nom-sg;daughter;RELATION;-;filia;filia;-;filia;filia;[Ma]tre Ma/g(nae) // [Ti]ta Varia T(iti) f(ilia) / donom / de[d]et;;EDCS 02700267;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Rome;;41.9097374;11.9768859;True;True;8;272859;-212.5;-2;0
162385;149;162;1;162385;3;q(uinti);quinti;ATR;162386;1467899.0;13577a;13577;37.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Quintus;PROPER;PERSONAL;Quintus;Quinti;-;quinti;quinti;[Q(uintus) Fabio(s) Q(uinti) f(ilius) co(n)s]ol / [Ho]nor{e}i ded{e}it;;EDCS 64000104;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Gabii (Castiglione);;42.7685915;10.8728671;True;True;7;666566;-212.5;-2;149;162;1;162386;4;f(ilius);filius;APOS;162383;1467138.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;[Q(uintus) Fabio(s) Q(uinti) f(ilius) co(n)s]ol / [Ho]nor{e}i ded{e}it;;EDCS 64000104;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Gabii (Castiglione);;42.7685915;10.8728671;True;True;7;666566;-212.5;-2;0
165536;179;192;1;165536;3;corneliai(!);corneliai;ATR;165535;1464746.0;12293a;12293;5.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;GEN;-;n-s---fg-;F-gen-sg;Cornelia;PROPER;PERSONAL;Cornelia;Corneliae;-;corneliae;corneliai;Fove L(uciae) Corneliai(!) L(uci) f(iliae);;CIL I² 573;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-250.0;-200.0;Aesis (Jesi);;43.5255016;13.245574;True;True;5;287008;-225.0;-2;179;192;1;165535;2;l(uciae);luciae;OBJ;165534;1464713.0;12904a;12904;5.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;GEN;-;n-s---fg-;F-gen-sg;Lucia;PROPER;PERSONAL;Lucia;Luciae;-;luciae;luciae;Fove L(uciae) Corneliai(!) L(uci) f(iliae);;CIL I² 573;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-250.0;-200.0;Aesis (Jesi);;43.5255016;13.245574;True;True;5;287008;-225.0;-2;1
165537;179;192;1;165537;4;l(uci);luci;ATR;165538;1466720.0;12908a;12908;534.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Lucius;PROPER;PERSONAL;Lucius;Luci;-;luci;luci;Fove L(uciae) Corneliai(!) L(uci) f(iliae);;CIL I² 573;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-250.0;-200.0;Aesis (Jesi);;43.5255016;13.245574;True;True;5;287008;-225.0;-2;179;192;1;165538;5;f(iliae);filiae;APOS;165535;1464808.0;12536a;12536;114.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;GEN;-;n-s---fg-;F-gen-sg;daughter;RELATION;-;filia;filiae;-;filiae;filiae;Fove L(uciae) Corneliai(!) L(uci) f(iliae);;CIL I² 573;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-250.0;-200.0;Aesis (Jesi);;43.5255016;13.245574;True;True;5;287008;-225.0;-2;0
180182;205;218;1;180182;4;t(iti);titi;ATR;180183;1468294.0;14013a;14013;98.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Titus;PROPER;PERSONAL;Titus;Titi;-;titi;titi;Pesco Sal(via) / Plaria T(iti) l(iberta) / Fero(niae) don(o) // [Q]uod a[f luc(o)] / dedet libe(n)s / m(erente) mereto;;CIL I² 2867;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-250.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947074;True;True;14;248032;-225.0;-2;205;218;1;180183;5;l(iberta);liberta;APOS;180180;1465230.0;12863a;12863;20.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;NOM;-;n-s---fn-;F-nom-sg;freedwoman;HUMAN;-;liberta;liberta;-;liberta;liberta;Pesco Sal(via) / Plaria T(iti) l(iberta) / Fero(niae) don(o) // [Q]uod a[f luc(o)] / dedet libe(n)s / m(erente) mereto;;CIL I² 2867;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-250.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947074;True;True;14;248032;-225.0;-2;0
