;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Heads;Siblings;Constituent;Verbal_head;Main_clause;Order;Check;Konneker
157024;995;1407;338;157024;3;parfa.;parfa;OBJ_CO;319872;202679.0;11053a;11053;7.0;Umbrian;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;bird of ill omen;ANIMAL;-;parra;parram;-;paresaam;par-fa--;2 stiplo aseriaia. parfa. dersua. curnaco. dersua / 3 peico. mersto. peica. mersta. mersta. auuei. merst{.}a. angla. esona.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157023];[157024, 157026, 157028, 157030, 157033, 157035];13;observo;0;1;[157024, 157026, 157028, 157030, 157033, 157035];0
157042;995;1409;340;157042;3;parfa.;parfa;OBJ_CO;319873;202697.0;11053a;11053;7.0;Umbrian;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;bird of ill omen;ANIMAL;-;parra;parram;-;paresaam;par-fa--;4 ef. aserio. parfa. dersua. curnaco. dersua. peico. mersto. peica. mersta. mersta. aueif. merstaf / 5 anglaf. esona. mehe. tote. iioueine. esmei. stahmei. stahmeitei.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157041];[157042, 157044, 157046, 157048, 157051, 157053];13;observo;1;1;[157042, 157044, 157046, 157048, 157051, 157053];0
157065;995;1410;341;157065;5;angla;angla;OBJ;157066;202720.0;10100a;10100;8.0;Umbrian;A-stem;noun;-;-;-;-;-;plural;F;ACC;-;n-p---fa-;F-acc-pl;divining-bird (Buck);RELIGION;-;oscen;oscines;-;anklaaf;angla--;5 sersi. pirsi. sesus. poi. angla / 6 aseriato. est. erse. neip. mugatu. nep. arsir. andersistu. nersa. courtust. porsi. angla. anseriato / 7 iust.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157066];[157065];1;observo;0;0;[157065];0
157077;995;1410;341;157077;17;angla.;angla;OBJ;157078;202732.0;10100a;10100;8.0;Umbrian;A-stem;noun;-;-;-;-;-;plural;F;ACC;-;n-p---fa-;F-acc-pl;divining-bird (Buck);RELIGION;-;oscen;oscines;-;anklaaf;angla--;5 sersi. pirsi. sesus. poi. angla / 6 aseriato. est. erse. neip. mugatu. nep. arsir. andersistu. nersa. courtust. porsi. angla. anseriato / 7 iust.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157078];[157077];1;observo;0;0;[157077];0
157187;995;1417;348;157187;8;parfa.;parfa;OBJ;157191;202842.0;11053a;11053;7.0;Umbrian;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;bird of ill omen;ANIMAL;-;parra;parram;-;paresaam;par-fa--;15 hondra. esto. tudero. porsei. subra. screihtor. sent. parfa. dersua. curnaco. dersua. seritu.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157191];[157187];2;servo;1;0;[157187];0
157189;995;1417;348;157189;10;curnaco.;curnaco;OBJ;157191;202844.0;10741a;10741;5.0;Umbrian;C-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;crow;ANIMAL;-;corvus;corvum;-;kurnakom;curnaco-;15 hondra. esto. tudero. porsei. subra. screihtor. sent. parfa. dersua. curnaco. dersua. seritu.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157191];[157189];2;servo;1;0;[157189];0
157195;995;1418;349;157195;4;peico.;peico;OBJ_CO;319876;202850.0;11126a;11126;5.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;ACC;-;n-s---ma-;M-acc-sg;woodpecker;ANIMAL;-;picus;picum;-;peykom;peico-;15 subra. esto / 16 tudero. peico. mersto. peica. mersta. seritu.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157199];[157195, 157197];4;servo;1;0;[157195, 157197];0
157207;995;1420;351;157207;1;arsferturo.;arsferturo;OBJ;157209;202862.0;10007a;10007;12.0;Umbrian;C-stem;noun;-;-;-;-;-;singular;M;ACC;-;n-s---ma-;M-acc-sg;adfertor;HUMAN;-;adfertor;adfertorem;-;ad-fertoorom;arsfertu-ro-;16 sue anclar. procanurent. eso. tremnu. serse / 17 combifiatu. arsferturo. nomne. carsitu;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157209];[157207];1;voco;1;0;[157207];0
157238;995;1422;353;157238;10;perca.;perca;OBJ;157240;202893.0;11087a;11087;9.0;Umbrian;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;wand;-;-;virga;virgam;-;perkaam;perca--;18 esisco. esoneir. seueir / 19 popler. anferener. et. ocrer. pihaner. perca. arsmatia. habitu.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157240];[157238];2;habeo;1;0;[157238];0
157241;995;1423;354;157241;1;uasor.;uasor;OBJ;157252;202896.0;11633a;11633;3.0;Umbrian;C-stem;noun;-;-;-;-;-;plural;N;ACC;-;n-p---na-;N-acc-pl;vessel;-;-;vas;vasa;-;waatoos;ua-so-r;19 uasor. uerisco. treblanir. porsi. ocrer. / 20 pehaner. paca. ostensendi. eo. iso. ostendu. pusi. pir. pureto. cehefi. dia.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157252];[157241];3;ostendo;1;0;[157241];0
