;Token_ID;Lemma;Token;Children;Relation;POS;Category;AuxY;Language;Date_before;Date_after;Sentence;Proper;Verbs;Nouns;Polysyndeton;Bisyndeton;Minus_one;Strategy
23;515091;;-;1;SBJ_CO;noun;PROPER;0;Latin;-175.0;-225.0;] / L(ucius) [---] f(ilius) / quaestores / dedere;1;0;0;0;1;0;A
24;515092;;-;1;SBJ_CO;noun;PROPER;0;Latin;-175.0;-225.0;[Aesculapio] / [ // --- Val]eri(us?) M(arci) [f(ilius) ---] / aed(iles) cur(ules) a[ram(?)] / [co]ns(acraverunt) L(ucius) Atil[i(us) --- f(ilius) ---] / [refici]und(um) c[oeravit];1;0;0;0;1;0;A
25;515093;;-;NA;NA;NA;NA;0;Latin;-175.0;-199.0;Q(uintus) Pomponius Q(uinti) f(ilius) / L(ucius) Tulius Ser(vi) f(ilius) / praitores aere / Martio emeru(n)t;0;0;0;0;0;0;A
26;515095;;-;3;ADV_CO;noun;HUMAN;0;Latin;-150.0;-225.0;filios Barbati / consol censor aidilis hic fuet a[pud vos] /;0;0;1;1;0;0;A
27;319331;13568a;que;2;OBJ_CO;noun;PROPER;0;Latin;-150.0;-225.0;hec cepit Corsica(m) Aleria(m)que urbe(m) /;1;0;0;0;0;1;S
28;503963;13568a;q(ue);2;PRED_CO;verb;-;0;Latin;-100.0;-199.0;] / [ae]dem signa p[---] / [---] eidemq(ue) pr[obavit] / [;0;1;0;0;0;1;S
29;515096;;-;2;OBJ_CO;noun;BUILDING;0;Latin;-100.0;-199.0;] / [ae]dem signa p[---] / [---] eidemq(ue) pr[obavit] / [;0;0;1;0;0;1;A
30;515097;;-;4;SBJ_CO;noun;PROPER;0;Latin;-100.0;-199.0;Samnites / inq{u}olae // V(eneri) d(onum) d(ant) / mag(istri) / C(aius) Pompo//nius V(ibi) f(ilius) / C(aius) Percen//nius L(uci) f(ilius) / L(ucius) Satrius // L(uci) f(ilius) / C(aius) Marius // No(vi) f(ilius);1;0;0;1;0;0;A
31;515098;;-;2;SBJ_CO;noun;PROPER;0;Latin;-100.0;-199.0;]enus L(uci) f(ilius) / [---]olanus Se(xti) f(ilius) / [--- vir] ei hoc opus / [faciun]du(m) dedere;1;0;0;0;0;1;A
32;515099;;-;3;ADV_CO;noun;PROPER;0;Latin;-100.0;-225.0;] / Antistiae Sp(uri) f(iliae) [---] / Cedatio P(ubli) f(ilio) Mai[---] / Cedatio P(ubli) f(ilio) Mai[---] / v(otum) s(olverunt) l(ibentes) de sua pequ[nia];1;0;0;1;0;0;A
33;503974;13568a;que;3;OBJ_CO;noun;BUILDING;0;Latin;-80.0;-202.0;[---]us N(umeri) f(ilius) / [---]vius L(uci) f(ilius) / [---]us C(ai) f(ilius) / [prae]fect{e}i / [turris] portas / [muro]sque / [fecerun]t af [solo eisdemque probaverunt];0;0;1;1;0;0;S
34;515101;;-;3;SBJ_CO;noun;PROPER;0;Latin;-80.0;-202.0;[---]us N(umeri) f(ilius) / [---]vius L(uci) f(ilius) / [---]us C(ai) f(ilius) / [prae]fect{e}i / [turris] portas / [muro]sque / [fecerun]t af [solo eisdemque probaverunt];1;0;0;1;0;0;A
35;515103;;-;2;SBJ_CO;noun;PROPER;0;Latin;-71.0;-270.0;[---] Sanguri(us) C(ai) f(ilius) / L(ucius) Gargoni(us) L(uci) f(ilius) / q(uaestores) / sacellum d(e) s(enatus) s(ententia) / saepiundum / couraverunt;1;0;0;0;0;1;A
36;503977;13568a;que;2;PRED_CO;verb;-;0;Latin;-44.0;-199.0;L(ucius) Folcinius L(uci) f(ilius) C(aius) Fabius [--- f(ilius)] duomvirum pavi[m]en[tum] [faci]un[d]um dederun(t) eisd[emque probaverunt ---];0;1;0;0;0;1;S
37;515104;;-;2;SBJ_CO;noun;PROPER;0;Latin;-44.0;-199.0;L(ucius) Folcinius L(uci) f(ilius) C(aius) Fabius [--- f(ilius)] duomvirum pavi[m]en[tum] [faci]un[d]um dederun(t) eisd[emque probaverunt ---];1;0;0;0;0;1;A
38;515105;;-;12;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;[Hisc(e?) m]ag(istris) Laribus d(onum) d(ant) / Ap(h)rodisi(us) Ploti C(ai) s(ervus) / Apollon(ius) Ofilli N(umeri) s(ervus) / Philemo Mesc(iniorum) N(umeri) e(uci) s(ervus) / Pothus Virriai s(ervus) / Philogen(es) Curtil(i) P(ubli) s(ervus) / Dama Vetti P(ubli) pu(pi) s(ervus) / Surus I(u)vent(i) P(ubli) s(ervus) / Apollon(ius) Arri Cn(aei) s(ervus) / Antioc(hus) Ploti C(ai) s(ervus) / T(h)iasus Deci P(ubli) s(ervus) / Diogen(es) Metili C(ai) s(ervus) / Orp(h)eus Afini(orum) L(uci) C(ai) s(ervus) /;1;0;0;1;0;0;A
39;515107;;-;3;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;] / Q(uintus) Ravel[i]o(s) [---] / P(ublius) Cominio(s) P(ubli) f(ilius) / L(ucius) Malio(s) C(ai) f(ilius) / quaistores / senatu(m) D() / consuluere /;1;0;0;1;0;0;A
40;213665;12003a;aut;2;PNOM_CO;adjective;RELIGION;1;Latin;-27.0;-299.0;iei[s] censuere / aut sacrom / aut poublicom / ese[;0;0;0;0;1;0;O
41;515108;;-;2;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;M(arcus) Caicilius L(uci) f(ilius) / L(ucius) Atilius L(uci) f(ilius) / praef(ecti) / pontem p{e}ila[s] / faciundum / coirave[re];1;0;0;0;0;1;A
42;515109;;-;2;OBJ_CO;noun;BUILDING;0;Latin;-27.0;-299.0;M(arcus) Caicilius L(uci) f(ilius) / L(ucius) Atilius L(uci) f(ilius) / praef(ecti) / pontem p{e}ila[s] / faciundum / coirave[re];0;0;1;0;0;1;A
